,7Networks_LH_Vis_1,7Networks_LH_Vis_2,7Networks_LH_Vis_3,7Networks_LH_Vis_4,7Networks_LH_Vis_5,7Networks_LH_Vis_6,7Networks_LH_Vis_7,7Networks_LH_Vis_8,7Networks_LH_Vis_9,7Networks_LH_SomMot_1,7Networks_LH_SomMot_2,7Networks_LH_SomMot_3,7Networks_LH_SomMot_4,7Networks_LH_SomMot_5,7Networks_LH_SomMot_6,7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_DorsAttn_FEF_1,7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_3,7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_2,7Networks_LH_Cont_Par_1,7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_Cing_1,7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_2,7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_2,7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_7,7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,7Networks_RH_Vis_1,7Networks_RH_Vis_2,7Networks_RH_Vis_3,7Networks_RH_Vis_4,7Networks_RH_Vis_5,7Networks_RH_Vis_6,7Networks_RH_Vis_7,7Networks_RH_Vis_8,7Networks_RH_SomMot_1,7Networks_RH_SomMot_2,7Networks_RH_SomMot_3,7Networks_RH_SomMot_4,7Networks_RH_SomMot_5,7Networks_RH_SomMot_6,7Networks_RH_SomMot_7,7Networks_RH_SomMot_8,7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_DorsAttn_FEF_1,7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_2,7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_TempPole_1,7Networks_RH_Cont_Par_1,7Networks_RH_Cont_Par_2,7Networks_RH_Cont_PFCl_1,7Networks_RH_Cont_PFCl_2,7Networks_RH_Cont_PFCl_3,7Networks_RH_Cont_PFCl_4,7Networks_RH_Cont_Cing_1,7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_pCun_1,7Networks_RH_Default_Par_1,7Networks_RH_Default_Temp_1,7Networks_RH_Default_Temp_2,7Networks_RH_Default_Temp_3,7Networks_RH_Default_PFCv_1,7Networks_RH_Default_PFCv_2,7Networks_RH_Default_PFCdPFCm_1,7Networks_RH_Default_PFCdPFCm_2,7Networks_RH_Default_PFCdPFCm_3,7Networks_RH_Default_pCunPCC_1,7Networks_RH_Default_pCunPCC_2
7Networks_LH_Vis_1,0.0,52.8778497299052,26.2892074546788,97.5369497049375,93.1601568675432,38.2136846223555,75.0056231474791,99.3446549039213,100.237240933926,154.885413238968,165.665845870972,182.197967529297,132.120391845703,134.171813964844,142.434425354004,40.2159795767213,140.372047424316,98.4429784962829,162.20802861994,136.120780251243,150.484397888184,198.566005706787,174.576889038086,167.491386413574,156.256206423737,202.984664916992,190.023573133681,121.189269376605,195.065536499023,149.270723978678,147.016117072828,40.7271075463114,101.563869685563,124.72127748147,197.561618804932,86.7427533541112,66.3188417391344,135.801720896075,168.971276419503,121.132794189453,93.3089604141019,161.526413574219,162.82704856179,157.295806208743,171.700705226464,165.880877639308,166.518848194796,204.870356241862,47.9124874459173,86.5501724567819,153.201235453288,207.182072957357,184.376760864258,209.359976450602,193.088553534614,170.668014526367,197.383008321126,185.383127554869,179.422798156738,0.0,0.0,0.0,0.0,148.931838989258,152.30953725179,153.049452781677,179.513173675537,152.916412353516,208.00590133667,180.515656471252,150.761726379395,0.0,0.0,0.0,163.630821228027,161.856440226237,139.660839080811,222.725865681966,227.769131978353,197.051940917969,131.081130981445,195.801666259766,196.894897460938,209.07592010498,0.0,229.054458618164,105.607759221395,179.21516418457,168.847475191442,0.0,199.983612060547,196.639923095703,188.191566467285,198.835037231445,0.0,207.284712571364,219.901894463433,0.0,151.071288132086,155.960071254421
7Networks_LH_Vis_2,52.8778497299052,0.0,28.1681893393187,38.5737807174515,30.5314049694813,73.0063042258488,63.5775816945648,64.3250644772573,78.5866694499313,169.675528515344,166.32644144694,210.39463297526,208.579900105794,195.806358337402,220.890533447266,33.0748161884433,230.521881103516,103.633501215312,204.595733642578,183.33110555013,191.085514068604,216.552383422852,229.077362060547,176.193231105804,138.523203620615,186.373281860352,196.498890468052,195.336380004883,238.036895751953,0.0,174.357381331936,116.961423695255,121.556633775646,177.244869373463,203.335920410156,162.561862024768,158.627990722656,144.472195212991,165.709458392599,173.711827596029,133.364088273206,169.355060759045,188.180324003432,200.117915663608,195.235169463956,210.475859543373,164.075035095215,0.0,118.275712842139,178.944473266602,204.959733581543,221.223455641005,226.468438042535,225.545488586426,218.036801388389,193.595920039158,214.453298615246,210.279277245603,225.462799072266,247.615753173828,0.0,0.0,0.0,0.0,0.0,0.0,204.791510189281,0.0,0.0,215.627070985991,246.501586914062,0.0,0.0,231.643615722656,0.0,217.747299194336,0.0,0.0,243.741371154785,239.752433776855,244.066741943359,182.765258789062,233.879386901855,0.0,239.793045043945,0.0,166.938228607178,229.845520019531,190.811345496544,0.0,196.172317504883,0.0,0.0,0.0,0.0,226.502683258057,238.148944091797,0.0,159.737623416676,199.964625965465
7Networks_LH_Vis_3,26.2892074546788,28.1681893393187,0.0,84.700199980273,28.2422877474943,24.0611186954511,76.685154224413,84.2361795951816,72.5385817571609,170.398496956661,0.0,231.446685791016,0.0,233.499729156494,192.795196533203,48.4763955706548,160.381790161133,97.2254474622786,154.064056396484,170.969778060913,199.819793701172,184.945373535156,231.27473449707,164.220809936523,140.754741467928,169.181823730469,179.395113627116,138.828561147054,192.158435821533,0.0,156.091582439136,94.7997510936227,105.066566805088,150.645499420166,200.427030290876,105.944066429138,103.216721126011,124.532990006241,164.720744484349,183.553728103638,129.275585644062,148.930439843072,171.801334838867,175.727836815087,174.542926489483,203.500507354736,242.588455200195,239.536865234375,59.1644011841101,107.524721487975,174.240752326118,189.169832794755,215.69924621582,216.065807253815,120.120222714212,175.432383643256,201.749785496638,200.379053093405,246.43391418457,0.0,0.0,160.192886352539,0.0,0.0,0.0,181.607513427734,198.378294292249,0.0,0.0,201.999062033261,192.298308054606,0.0,0.0,0.0,0.0,228.473510742188,0.0,0.0,226.988794962565,220.820709228516,136.401092529297,194.791458129883,218.935319519043,213.071929931641,0.0,0.0,190.05669148763,223.805450439453,182.380540270324,0.0,233.14054107666,219.083099365234,226.455703735352,0.0,236.000396728516,220.789561271667,233.454905192057,0.0,157.397406194628,181.014589309692
7Networks_LH_Vis_4,97.5369497049375,38.5737807174515,84.700199980273,0.0,31.8327131700049,92.7569293046609,30.7738953760384,36.4311844467771,92.1838569707921,165.811396494633,215.152610778809,175.809440612793,0.0,229.733985900879,0.0,46.3046083744028,200.771606445312,164.31609812954,147.93977355957,214.468020121257,145.825134277344,201.890193939209,201.455062866211,189.840185038249,133.537224874447,196.65180460612,190.498626708984,207.928726196289,0.0,244.813552856445,188.630610656738,142.259363798169,134.716747444059,195.873040941026,209.315328424627,186.431416193644,149.058897018433,151.90754107393,152.680728201139,180.218812903579,185.99349003622,181.049667024264,201.021362920513,217.377696161685,209.096868003287,218.942854358304,220.561058044434,0.0,131.257173156738,195.878259658813,220.877531263563,227.140267764821,225.875221252441,223.324229049683,213.652795791626,196.01616489186,212.453389892578,209.998614348513,210.782974243164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.122941450639,0.0,239.998321533203,202.436655044556,240.767684936523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.243438720703,0.0,218.20171101888,244.305953979492,0.0,0.0,0.0,172.255266189575,223.720924377441,188.067434457632,0.0,0.0,0.0,0.0,0.0,0.0,242.895729064941,239.477661132812,0.0,169.411364593506,193.175861559416
7Networks_LH_Vis_5,93.1601568675432,30.5314049694813,28.2422877474943,31.8327131700049,0.0,38.2049367843834,83.7846662621749,34.3357097188509,29.5344824914517,158.588616082835,217.70751953125,220.055328369141,0.0,0.0,0.0,101.467060132215,183.110198974609,189.743271974417,0.0,205.341018676758,218.811798095703,209.92909749349,177.605590820312,203.148262329102,136.073853526624,186.675274319119,217.557846069336,216.612840924944,0.0,220.292778015137,185.285465406335,144.496064691958,133.21268162869,204.492077995749,210.694016676683,156.900111243838,126.690553144975,151.948917587815,153.201518975415,177.980460030692,188.014131546021,178.270140458253,198.718552081254,211.180406907026,203.458104568873,220.288679235122,209.20681254069,213.022888183594,102.761190514815,167.907369995117,208.160519986539,217.573421209631,214.348856789725,219.555538900537,207.973828154344,187.428717476981,208.237025016748,203.879397603332,223.411064147949,181.528015136719,0.0,0.0,0.0,0.0,0.0,245.608001708984,198.432020367316,0.0,0.0,201.20890139227,220.806234741211,0.0,0.0,0.0,0.0,225.463647460937,0.0,0.0,245.451263427734,225.035244281475,0.0,189.178146362305,243.248825073242,0.0,0.0,0.0,175.757330460982,237.388427734375,184.306137280086,0.0,228.586080932617,232.955418904622,207.682907104492,245.676223754883,0.0,232.806949191623,231.551574707031,0.0,155.646447956053,181.422409784226
7Networks_LH_Vis_6,38.2136846223555,73.0063042258488,24.0611186954511,92.7569293046609,38.2049367843834,0.0,96.2197910308838,70.8308751617877,29.820987173872,152.562212334305,172.096134185791,0.0,0.0,0.0,216.853271484375,100.877040863037,217.834777832031,117.48413061059,199.398773193359,133.246809823172,213.759414672852,194.140436808268,207.598342895508,170.632535298665,128.722493243474,195.664024353027,204.581508636475,112.430539478975,165.762619018555,132.279363359724,179.951933551144,108.68192438069,124.047215196119,159.964918954032,216.132152557373,80.46029467699,63.6353087907427,144.775885782878,157.55069325765,168.893183898926,160.380194683464,164.475379180908,187.489610531456,160.107511080228,189.482637109223,177.955269529108,190.383415222168,193.726303100586,24.8645007359223,75.9022801823977,173.314708709717,198.806783519072,208.289273262024,195.353005952924,137.951016362629,167.536788066835,187.02668834377,153.287177016115,186.354211425781,115.258129119873,0.0,0.0,0.0,196.974548339844,180.450352986654,164.373306274414,183.149466527651,0.0,139.583084106445,177.46113652055,151.883400878906,0.0,0.0,175.56233215332,0.0,213.27214050293,114.909107971191,234.279602050781,220.078552246094,209.835965111142,201.963562011719,181.102157592773,227.832203456334,203.198318481445,0.0,182.0048828125,100.771014976501,171.88872273763,158.657105664633,188.455848693848,215.52786434398,228.589918136597,205.290029907227,242.582374572754,0.0,220.024331485524,200.95046488444,224.239044189453,132.059388777139,158.9702153147
7Networks_LH_Vis_7,75.0056231474791,63.5775816945648,76.685154224413,30.7738953760384,83.7846662621749,96.2197910308838,0.0,43.6864543260122,76.9597990568294,142.205585327148,169.044780731201,0.0,122.625832557678,121.995172571253,123.49446105957,38.7106688300041,118.19783782959,57.2603378156066,109.829783944523,140.004024212177,123.685501098633,162.251195678711,109.370918273926,146.972293429905,125.715081815366,174.010245323181,156.812866210938,230.71044921875,0.0,176.091354370117,171.208021503192,108.395146706028,106.00298153838,131.269197146098,153.708303812388,118.599449649934,143.800401306152,131.584581298828,124.585059079257,25.2054852054726,39.0540247803537,165.847249230673,186.357014480146,190.874996948242,191.13189563612,208.156764030457,142.994313049316,171.517828877767,113.687587876753,130.331368764242,205.484271579319,208.992603077608,219.431783040365,214.571662639749,201.859288787842,179.505227060029,214.393373991314,207.389287887081,240.548721313477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.817329406738,0.0,0.0,194.461097130409,224.13459777832,0.0,0.0,0.0,0.0,0.0,0.0,217.225723266602,237.120895385742,243.257598876953,0.0,170.212341308594,246.794372558594,0.0,0.0,0.0,156.369348144531,234.839752197266,190.951013004079,209.512573242188,188.789077758789,237.354949951172,216.618225097656,247.62873840332,0.0,218.529440307617,229.981718063354,0.0,162.329230057566,179.273597268497
7Networks_LH_Vis_8,99.3446549039213,64.3250644772573,84.2361795951816,36.4311844467771,34.3357097188509,70.8308751617877,43.6864543260122,0.0,31.0873870013465,138.762003075337,131.969885762533,182.646245320638,0.0,178.810607910156,179.317060682509,72.8078928605726,174.352485656738,36.1558751788673,155.565927777972,123.80067535683,128.381644439697,193.417041015625,231.837270100911,188.752098532284,127.928530957964,190.980374787983,185.641480445862,209.81242980957,0.0,233.620915730794,191.025591318586,143.698676028989,136.690561402229,127.947525810649,186.372933749495,88.317627090878,132.743405562181,147.651162923769,141.544882861051,153.988267543704,81.8101121539638,180.623872615463,203.083164012375,211.825478001645,209.932253131759,223.021894885648,175.208250681559,187.798294067383,84.1294327626186,119.787703054923,204.73412159511,205.784111106789,210.646731354469,209.673370277025,206.667309290568,181.194035989267,200.30535528633,195.830957435207,223.665264892578,229.335304260254,0.0,0.0,0.0,0.0,246.134414672852,0.0,191.816742515564,0.0,244.376022338867,194.341310773577,197.098892704133,0.0,0.0,184.565643310547,228.138961791992,214.207444624467,211.124064127604,220.395919799805,244.691284179688,228.116344197591,195.704504394531,184.516952963436,243.359100341797,0.0,0.0,0.0,126.819878578186,0.0,175.341480994511,210.655181884766,223.537063598633,237.471950531006,227.662685394287,0.0,226.592041015625,233.906668526786,0.0,0.0,145.870712690716,167.424018926206
7Networks_LH_Vis_9,100.237240933926,78.5866694499313,72.5385817571609,92.1838569707921,29.5344824914517,29.820987173872,76.9597990568294,31.0873870013465,0.0,134.40815661141,144.474250344669,169.509592692057,0.0,128.970260620117,144.619913101196,92.0808618508574,178.213428497314,52.8744567715976,180.964645385742,72.7185617196755,122.558991114299,170.078298568726,223.738952636719,168.930168969291,131.095000054129,170.011100769043,174.291122436523,160.194560050964,173.855560302734,159.432825724284,195.983254885206,141.196953837077,146.631374002617,86.8963439678324,187.4973487854,35.8860976486025,84.8585224151611,153.771039685936,136.425030350685,171.223027038574,120.182365511029,185.17688643844,205.348011808575,212.834462890625,212.694410697042,210.357431826384,199.234085083008,219.816736857096,45.9234545517377,66.7123974792096,187.572718587415,199.301283836365,201.931728866865,199.968918022068,163.296597149288,166.071973700272,189.716132958475,173.11970321522,206.764906041762,150.656234741211,0.0,171.678771972656,0.0,195.341354370117,199.270138549805,187.149925231934,177.087789362127,191.781265258789,182.343910217285,180.983265353548,177.083711147308,181.06037902832,0.0,184.55805460612,152.521530151367,204.181077503023,165.379356384277,159.167266845703,233.503952026367,215.656006798377,184.685747146606,177.40121418721,246.169937133789,0.0,221.452041625977,227.638084411621,118.995914646837,188.690002441406,160.975372103664,201.846054077148,218.073515973772,224.006413509971,203.034205561099,238.715118408203,241.790939331055,238.629440307617,0.0,0.0,128.254319590476,157.069987646861
7Networks_LH_SomMot_1,154.885413238968,169.675528515344,170.398496956661,165.811396494633,158.588616082835,152.562212334305,142.205585327148,138.762003075337,134.40815661141,0.0,38.6833796923359,46.5272684286632,136.533855507591,145.257805094999,145.286023920233,144.230187592683,85.1685207882664,120.220121439035,131.970284861903,119.474012641907,121.27559998978,124.63876751753,151.8824630131,41.6996079600805,47.5981982840123,113.394814336868,174.616128206253,157.851789686415,185.417048863002,163.42883678059,156.390144666036,157.29739432562,119.750519203883,125.023690810809,143.263539317547,112.322846486472,118.050050908869,56.5466911227888,53.4355105968953,29.8772107955482,110.161653410755,138.630274238316,137.417152514861,178.580903189523,180.608705793108,172.879311896659,154.339348493304,162.270283582734,112.669125407135,121.228853006074,176.705612182617,228.624089558919,217.916482543945,211.020723978678,209.095291137695,190.404365539551,200.173834228516,218.969555854797,190.198181152344,192.708719889323,153.879699707031,0.0,217.139389038086,172.60100402832,192.631674373851,177.945611041525,195.660159640842,204.731292724609,179.682596842448,197.246955284706,181.435129769841,205.420458984375,212.483929443359,202.033512115479,222.779582977295,200.073202950614,185.75784556071,192.49055480957,223.712219238281,220.547882080078,194.544967651367,180.605541229248,227.545300801595,208.885508219401,212.362019856771,230.614768981934,146.044678939016,195.755935668945,184.16607243964,216.126012166341,207.950360979353,0.0,214.587608337402,0.0,209.248115539551,207.342278374566,200.783739993447,207.860075378418,167.435741258704,181.398029033954
