,L_bankssts,L_caudalanteriorcingulate,L_caudalmiddlefrontal,L_cuneus,L_entorhinal,L_fusiform,L_inferiorparietal,L_inferiortemporal,L_isthmuscingulate,L_lateraloccipital,L_lateralorbitofrontal,L_lingual,L_medialorbitofrontal,L_middletemporal,L_parahippocampal,L_paracentral,L_parsopercularis,L_parsorbitalis,L_parstriangularis,L_pericalcarine,L_postcentral,L_posteriorcingulate,L_precentral,L_precuneus,L_rostralanteriorcingulate,L_rostralmiddlefrontal,L_superiorfrontal,L_superiorparietal,L_superiortemporal,L_supramarginal,L_frontalpole,L_temporalpole,L_transversetemporal,L_insula,R_bankssts,R_caudalanteriorcingulate,R_caudalmiddlefrontal,R_cuneus,R_entorhinal,R_fusiform,R_inferiorparietal,R_inferiortemporal,R_isthmuscingulate,R_lateraloccipital,R_lateralorbitofrontal,R_lingual,R_medialorbitofrontal,R_middletemporal,R_parahippocampal,R_paracentral,R_parsopercularis,R_parsorbitalis,R_parstriangularis,R_pericalcarine,R_postcentral,R_posteriorcingulate,R_precentral,R_precuneus,R_rostralanteriorcingulate,R_rostralmiddlefrontal,R_superiorfrontal,R_superiorparietal,R_superiortemporal,R_supramarginal,R_frontalpole,R_temporalpole,R_transversetemporal,R_insula
L_bankssts,0.0,143.046455383301,149.261473519462,145.651115962437,0.0,154.694982580236,39.8252562645359,97.1931129319327,106.156866709391,144.292994424968,136.85399707995,150.297478357951,170.59455871582,35.3537312490056,126.777979532878,130.839762369792,129.550521730201,157.933199462891,146.923456426252,152.20778825548,115.074745019277,207.543446858724,125.805072195871,118.448159217834,0.0,154.186213869037,162.119593509408,126.86529381986,36.3726199197948,61.4790982586347,186.854892730713,156.69326210022,89.2858585075096,116.73482766792,189.119956970215,122.337425231934,177.169219970703,0.0,0.0,224.030776977539,169.643208821615,244.487319946289,118.534456041124,225.201477050781,0.0,197.619171142578,0.0,217.092768351237,0.0,150.308229446411,246.69612121582,0.0,0.0,213.431457519531,169.711286272321,140.233901977539,0.0,156.285110339784,0.0,204.406010945638,207.560070461697,167.394030979701,170.814804077148,166.957955932617,214.02555847168,0.0,161.239288330078,183.96949005127
L_caudalanteriorcingulate,143.046455383301,0.0,133.285858154297,0.0,0.0,0.0,174.287124633789,163.845206124442,92.6361669996222,200.856313705444,69.5183508131239,155.261530095881,54.8681010919973,140.044799804688,122.598626375198,67.3879864501953,78.9158106812643,88.8966960906982,66.2232351566547,195.772226969401,131.9892981393,41.5090428404619,139.2782081604,93.0894307361663,25.3923534307642,76.0253518499979,31.8170731083988,133.664819570688,153.297100830078,137.009044647217,127.865881102426,138.812985738118,221.861709594727,80.2009603566137,0.0,54.8452488292347,101.987767254865,0.0,0.0,0.0,185.144298553467,174.276168823242,144.478220322553,0.0,106.091336902819,0.0,97.1485686078168,222.388921101888,204.207656860352,129.547679356166,111.5127272288,116.27455069802,104.35609137933,0.0,160.064104352679,118.838265332309,143.589443751744,161.12472560042,75.7506597090741,103.398091331225,94.2830101288716,176.449592045375,156.262869517008,202.016464233398,119.735912114924,0.0,214.771057128906,112.872942410983
L_caudalmiddlefrontal,149.261473519462,133.285858154297,0.0,160.422004063924,178.825126647949,147.717324589076,109.32213895699,138.800634923231,153.964480845133,142.206902083351,164.663908004761,203.969606933594,232.546325683594,150.416291090158,203.469517299107,139.402717914987,48.9384943006351,130.082804621482,81.9133535729438,172.772159576416,97.7886083292884,114.07278213501,38.5196287268095,130.474740719576,132.50771077474,42.1977672792465,45.828414091141,106.157730033801,160.200837677923,103.422125480544,146.645769119263,146.48627726237,139.609710983083,98.4727741105048,208.885528564453,103.599000318995,115.444842629804,229.682586669922,227.882736206055,205.571624755859,198.026623196072,214.418672834124,147.090715261606,233.96196492513,147.769187927246,0.0,200.042022705078,221.887761433919,175.883544921875,143.734208724078,130.18369719202,153.383685025302,144.57344230883,0.0,168.612600627698,131.921177334256,154.513678725885,176.628448486328,144.277843475342,132.0309998529,117.087444365396,185.638783073425,200.078043619792,182.594742457072,159.651840209961,0.0,169.966949462891,146.181140806617
L_cuneus,145.651115962437,0.0,160.422004063924,0.0,107.405948093959,92.6524055010798,102.655170079281,124.211915334066,64.9976840920314,23.8409200848621,173.490673016898,45.679051418592,165.388980192297,131.225247770875,78.4175625965826,166.275863647461,200.980373382568,184.544503407936,185.862901475694,20.0350344141399,197.146781921387,141.667259216309,203.419336591448,25.2454185047928,167.470809936523,189.577556762695,195.094711303711,25.9472814883647,132.747280476376,165.364358629499,201.878038194444,138.525295620873,131.059921264648,118.617809892512,188.892269897461,206.474197387695,225.465713500977,108.014383593651,160.891326904297,181.158916897244,162.624387025833,185.289537478716,91.4264984402046,164.245255375137,224.102607727051,39.4619444176105,212.782638549805,193.407542114258,179.700545549393,154.151428222656,0.0,0.0,0.0,163.069454711161,246.876922607422,140.948696136475,0.0,128.646709056641,0.0,232.245738983154,219.79559135437,157.930698435051,201.83040348176,200.060905456543,0.0,244.139526367188,0.0,176.206309509277
L_entorhinal,0.0,0.0,178.825126647949,107.405948093959,0.0,21.8061332651011,130.385209334524,103.733099280052,70.6192408568107,125.726009952321,75.6489453887939,95.5740219244436,123.369319915771,148.186921926645,24.0058218863106,167.040451049805,202.079818725586,127.698278808594,184.538879394531,100.0238120155,0.0,107.121621704102,150.864053726196,87.668326401129,141.522289699978,173.313629150391,176.725256558122,119.322007165439,151.338039544912,130.618654251099,0.0,11.6041340341428,154.0634765625,15.6057422231177,0.0,0.0,0.0,146.847911834717,0.0,199.792724609375,0.0,180.929331461589,110.77230275472,173.818690829807,234.896560668945,129.807168579102,208.525756835938,197.140797932943,241.886993408203,149.158142089844,0.0,237.702545166016,0.0,167.89006652832,174.269973754883,128.734024047852,206.563461303711,155.028642272949,199.172065734863,0.0,207.31761932373,180.189039531507,202.149486541748,0.0,0.0,0.0,157.908843994141,215.796203613281
L_fusiform,154.694982580236,0.0,147.717324589076,92.6524055010798,21.8061332651011,0.0,79.7669651657675,42.2367610328426,87.0904765907878,48.2052845594602,157.084580129947,49.82769819296,133.866076633848,125.171719297722,31.6540838050811,165.720581054688,161.863147583008,173.370777268008,168.356395605839,83.2929465149163,149.139915657043,164.406732559204,152.950597998214,86.8954082671947,137.761949157715,165.553463502364,179.305468952486,83.6534050084468,133.299062379368,130.697037057562,175.020860916529,51.7447266799074,139.070556640625,118.926813513638,205.580894470215,185.429473876953,225.64444732666,175.146537045398,166.027099609375,190.596059799194,177.889335045448,189.871555510021,120.507041038351,176.303926409261,218.626725938585,156.802125673036,190.414408365885,209.26863628885,188.535146077474,186.64270401001,225.73681640625,231.103389195033,235.093070983887,178.000140126546,0.0,207.008964538574,209.000122070312,153.788389630886,217.896530151367,224.404118855794,212.00383628287,174.599420828118,196.947530110677,216.178960164388,225.307441711426,0.0,182.750659942627,192.420279608832
L_inferiorparietal,39.8252562645359,174.287124633789,109.32213895699,102.655170079281,130.385209334524,79.7669651657675,0.0,76.2882255341657,88.4312578410637,43.5304128708544,165.40360330602,141.538500849406,151.426282298808,57.291331412776,116.422080898877,162.68187889686,136.939042081188,177.062805365725,165.705240488781,123.046219884822,89.9303848193725,159.636382511684,105.150142143569,87.5382061083913,180.920265197754,141.805073596985,159.802032912003,42.46565954056,102.257728179876,43.9975569520518,185.034936384721,143.116078129521,96.188613168273,97.5101995212854,167.026229858398,145.754858016968,193.051567077637,158.986555536109,203.423629760742,188.096434674944,163.456833535052,182.827834882234,109.420073075728,163.172323399313,212.983002319336,165.591078207526,206.361404418945,189.221165376551,176.018604054171,159.651384231892,210.506958594689,226.543243408203,222.804593404134,165.397151402065,175.162507375081,134.5069584566,188.109702110291,141.557983135355,194.181522369385,218.256396063443,196.350693064288,159.77103250558,186.735194466331,160.697647094727,238.572116851807,211.428863525391,178.046231783353,186.408819127966
L_inferiortemporal,97.1931129319327,163.845206124442,138.800634923231,124.211915334066,103.733099280052,42.2367610328426,76.2882255341657,0.0,121.09201233089,84.7636223632691,112.179676803317,106.09478782035,98.5395036264628,40.1957098254458,75.9515319177575,205.064008076986,141.064612580918,145.024968940521,152.182455386207,114.935451366538,131.313406199712,161.739185810089,135.193989678715,120.544610090842,79.5755939483643,150.652723148638,164.201368241892,118.95436428621,122.919850726622,87.9814943602817,143.309429733842,32.1044762714665,124.006897193798,124.158698708022,183.412494659424,194.755501487038,207.571821424696,192.331265325132,0.0,207.085892333984,182.63969273721,204.796500676795,149.690841544388,202.376384613792,217.236324085909,156.112591352619,165.858282609419,206.916977473668,207.433338165283,182.077840532575,209.140954153878,210.67232131958,213.268672180176,197.700046539307,189.282287597656,147.690445582072,205.854760742187,168.380565307617,175.333335876465,217.036095174154,204.348223636025,184.378864114935,202.907310921805,178.654521179199,179.321406046549,204.40321858724,195.204551696777,193.16796875
L_isthmuscingulate,106.156866709391,92.6361669996222,153.964480845133,64.9976840920314,70.6192408568107,87.0904765907878,88.4312578410637,121.09201233089,0.0,79.9568762652366,149.124819493556,61.9977562652632,122.375225301374,127.608806447086,39.8687470015431,123.225684222053,131.686541327115,166.314916992188,146.113478831756,61.7671241583123,145.741610336304,29.9320621419904,143.598262297801,28.801194221136,104.629691671889,151.635455874578,115.736691943523,72.8941896917066,106.372785671191,105.444815437749,138.886022006764,129.348401911118,95.3765910315135,113.02752681445,121.625557422638,145.456931877136,164.106470108032,113.150277918035,143.891933441162,159.212500163487,125.474868209274,150.798403256899,32.3339775999387,133.814294302335,176.804348829316,126.113335688311,159.640095810006,145.067692756653,128.989681243896,98.966964958454,183.69082406851,198.088895357572,202.315543038504,122.448417422138,128.765044257754,52.4232003119996,135.35467708812,83.1720964776634,138.022823691368,201.365062872569,174.098484625444,113.939539703135,123.735138338898,113.415870807789,178.870422883467,218.727996826172,106.608803612845,114.513692548198
L_lateraloccipital,144.292994424968,200.856313705444,142.206902083351,23.8409200848621,125.726009952321,48.2052845594602,43.5304128708544,84.7636223632691,79.9568762652366,0.0,168.365694108443,41.6618299966285,154.340884713566,118.948279602363,99.8691322440108,191.305328369141,170.892077651533,179.826268090693,181.293534467924,24.5260894436625,154.722145625523,195.378408544204,162.211029230853,105.94101789521,165.946249389648,179.561542057086,192.711866408128,57.9306756665174,129.447539907545,144.159459281781,186.937066214425,138.393414790273,141.90637536951,115.032960622207,206.513824462891,203.698344639369,224.496288723416,166.381785155011,195.557804107666,193.604418956251,179.501482589654,194.859270754114,108.933710836058,170.874523263417,218.390733247645,160.352106704242,230.30063421076,206.798774630524,187.824120410653,0.0,233.087493896484,237.099405016218,231.610146017636,169.049822431092,216.023773193359,193.249384880066,223.694728088379,144.004595685538,206.772349766323,228.703590686505,225.130750232273,167.247158127531,209.531633400055,221.455971854074,231.182206373948,235.100451660156,204.343392944336,186.867536656997
