,L_bankssts,L_caudalanteriorcingulate,L_caudalmiddlefrontal,L_cuneus,L_entorhinal,L_fusiform,L_inferiorparietal,L_inferiortemporal,L_isthmuscingulate,L_lateraloccipital,L_lateralorbitofrontal,L_lingual,L_medialorbitofrontal,L_middletemporal,L_parahippocampal,L_paracentral,L_parsopercularis,L_parsorbitalis,L_parstriangularis,L_pericalcarine,L_postcentral,L_posteriorcingulate,L_precentral,L_precuneus,L_rostralanteriorcingulate,L_rostralmiddlefrontal,L_superiorfrontal,L_superiorparietal,L_superiortemporal,L_supramarginal,L_frontalpole,L_temporalpole,L_transversetemporal,L_insula,R_bankssts,R_caudalanteriorcingulate,R_caudalmiddlefrontal,R_cuneus,R_entorhinal,R_fusiform,R_inferiorparietal,R_inferiortemporal,R_isthmuscingulate,R_lateraloccipital,R_lateralorbitofrontal,R_lingual,R_medialorbitofrontal,R_middletemporal,R_parahippocampal,R_paracentral,R_parsopercularis,R_parsorbitalis,R_parstriangularis,R_pericalcarine,R_postcentral,R_posteriorcingulate,R_precentral,R_precuneus,R_rostralanteriorcingulate,R_rostralmiddlefrontal,R_superiorfrontal,R_superiorparietal,R_superiortemporal,R_supramarginal,R_frontalpole,R_temporalpole,R_transversetemporal,R_insula
L_bankssts,0.0,2.0,35.0,14.0,0.0,37.0,4423.0,420.0,24.0,167.0,19.0,36.0,3.0,10962.0,9.0,3.0,507.0,25.0,114.0,9.0,48.0,3.0,175.0,104.0,0.0,33.0,86.0,379.0,8797.0,1888.0,4.0,8.0,27.0,134.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,9.0,2.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,7.0,2.0,0.0,57.0,0.0,3.0,18.0,56.0,9.0,5.0,1.0,0.0,1.0,6.0
L_caudalanteriorcingulate,2.0,0.0,16.0,0.0,0.0,0.0,3.0,7.0,431.0,8.0,54.0,11.0,545.0,5.0,32.0,75.0,109.0,36.0,181.0,3.0,7.0,2728.0,10.0,1453.0,4464.0,328.0,10804.0,26.0,15.0,2.0,28.0,3.0,1.0,116.0,0.0,132.0,27.0,0.0,0.0,0.0,4.0,1.0,17.0,0.0,19.0,0.0,149.0,3.0,1.0,28.0,60.0,33.0,151.0,0.0,7.0,22.0,14.0,59.0,49.0,445.0,1606.0,14.0,6.0,2.0,55.0,0.0,1.0,13.0
L_caudalmiddlefrontal,35.0,16.0,0.0,12.0,2.0,356.0,8443.0,1946.0,30.0,458.0,40.0,25.0,3.0,520.0,7.0,47.0,13121.0,49.0,698.0,8.0,1858.0,30.0,39914.0,218.0,3.0,14467.0,27471.0,6715.0,464.0,2982.0,4.0,9.0,79.0,811.0,1.0,53.0,501.0,1.0,1.0,1.0,36.0,7.0,13.0,3.0,4.0,0.0,1.0,12.0,1.0,102.0,437.0,11.0,165.0,0.0,38.0,45.0,147.0,129.0,2.0,456.0,4007.0,80.0,9.0,24.0,5.0,0.0,2.0,41.0
L_cuneus,14.0,0.0,12.0,0.0,112.0,714.0,190.0,792.0,1741.0,11299.0,79.0,10147.0,17.0,364.0,631.0,1.0,12.0,73.0,27.0,24526.0,2.0,2.0,14.0,6174.0,1.0,50.0,33.0,12593.0,397.0,14.0,9.0,84.0,1.0,147.0,5.0,1.0,3.0,438.0,1.0,36.0,32.0,39.0,422.0,1253.0,10.0,1557.0,2.0,25.0,32.0,3.0,0.0,0.0,0.0,162.0,1.0,2.0,0.0,663.0,0.0,4.0,8.0,663.0,31.0,2.0,0.0,1.0,0.0,10.0
L_entorhinal,0.0,0.0,2.0,112.0,0.0,1016.0,19.0,103.0,149.0,85.0,50.0,238.0,20.0,26.0,2038.0,1.0,2.0,15.0,2.0,113.0,0.0,15.0,4.0,369.0,9.0,15.0,29.0,138.0,52.0,4.0,0.0,887.0,4.0,1463.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,15.0,18.0,2.0,5.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,45.0,2.0,0.0,2.0,19.0,4.0,0.0,0.0,0.0,1.0,1.0
L_fusiform,37.0,0.0,356.0,714.0,1016.0,0.0,4039.0,26429.0,349.0,31181.0,265.0,13062.0,58.0,1340.0,3072.0,1.0,350.0,166.0,99.0,1028.0,40.0,4.0,146.0,709.0,5.0,264.0,211.0,4814.0,955.0,182.0,39.0,1601.0,24.0,349.0,2.0,4.0,2.0,83.0,2.0,24.0,26.0,42.0,94.0,553.0,9.0,148.0,6.0,23.0,18.0,4.0,3.0,7.0,2.0,60.0,0.0,4.0,2.0,386.0,1.0,12.0,41.0,401.0,36.0,3.0,2.0,0.0,4.0,9.0
L_inferiorparietal,4423.0,3.0,8443.0,190.0,19.0,4039.0,0.0,18612.0,328.0,23087.0,281.0,510.0,49.0,24819.0,161.0,13.0,2248.0,241.0,327.0,113.0,3036.0,14.0,4655.0,1203.0,2.0,1230.0,899.0,52912.0,7672.0,13623.0,44.0,108.0,443.0,2092.0,4.0,4.0,22.0,83.0,1.0,35.0,94.0,76.0,176.0,686.0,25.0,142.0,3.0,68.0,17.0,47.0,26.0,8.0,12.0,70.0,24.0,17.0,16.0,928.0,4.0,29.0,242.0,875.0,88.0,34.0,4.0,1.0,13.0,27.0
L_inferiortemporal,420.0,7.0,1946.0,792.0,103.0,26429.0,18612.0,0.0,256.0,18257.0,393.0,7126.0,119.0,17671.0,761.0,6.0,3397.0,214.0,525.0,1109.0,301.0,16.0,1424.0,878.0,4.0,862.0,1123.0,4535.0,1919.0,3581.0,54.0,1833.0,69.0,588.0,8.0,11.0,9.0,46.0,0.0,25.0,62.0,79.0,117.0,283.0,17.0,122.0,11.0,56.0,8.0,14.0,14.0,8.0,10.0,32.0,9.0,12.0,10.0,625.0,5.0,30.0,190.0,528.0,70.0,20.0,3.0,3.0,10.0,21.0
L_isthmuscingulate,24.0,431.0,30.0,1741.0,149.0,349.0,328.0,256.0,0.0,2443.0,91.0,1917.0,456.0,234.0,1146.0,17.0,87.0,45.0,78.0,1346.0,20.0,4662.0,39.0,20168.0,1147.0,163.0,3535.0,3217.0,704.0,106.0,34.0,34.0,63.0,279.0,16.0,40.0,8.0,154.0,2.0,28.0,108.0,77.0,1212.0,465.0,41.0,133.0,221.0,96.0,24.0,145.0,13.0,13.0,21.0,79.0,42.0,197.0,34.0,1626.0,64.0,96.0,397.0,911.0,191.0,54.0,88.0,1.0,42.0,31.0
L_lateraloccipital,167.0,8.0,458.0,11299.0,85.0,31181.0,23087.0,18257.0,2443.0,0.0,825.0,14319.0,102.0,6380.0,538.0,5.0,515.0,769.0,454.0,9998.0,70.0,17.0,257.0,1230.0,10.0,790.0,650.0,17438.0,5382.0,381.0,91.0,407.0,37.0,2024.0,6.0,7.0,9.0,1428.0,12.0,279.0,227.0,339.0,1259.0,8003.0,85.0,1706.0,11.0,172.0,172.0,0.0,4.0,28.0,17.0,872.0,1.0,8.0,10.0,3533.0,7.0,52.0,144.0,3815.0,166.0,14.0,13.0,5.0,10.0,68.0
