,7Networks_LH_Vis_1,7Networks_LH_Vis_2,7Networks_LH_Vis_3,7Networks_LH_Vis_4,7Networks_LH_Vis_5,7Networks_LH_Vis_6,7Networks_LH_Vis_7,7Networks_LH_Vis_8,7Networks_LH_Vis_9,7Networks_LH_Vis_10,7Networks_LH_Vis_11,7Networks_LH_Vis_12,7Networks_LH_Vis_13,7Networks_LH_Vis_14,7Networks_LH_SomMot_1,7Networks_LH_SomMot_2,7Networks_LH_SomMot_3,7Networks_LH_SomMot_4,7Networks_LH_SomMot_5,7Networks_LH_SomMot_6,7Networks_LH_SomMot_7,7Networks_LH_SomMot_8,7Networks_LH_SomMot_9,7Networks_LH_SomMot_10,7Networks_LH_SomMot_11,7Networks_LH_SomMot_12,7Networks_LH_SomMot_13,7Networks_LH_SomMot_14,7Networks_LH_SomMot_15,7Networks_LH_SomMot_16,7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_Post_7,7Networks_LH_DorsAttn_Post_8,7Networks_LH_DorsAttn_Post_9,7Networks_LH_DorsAttn_Post_10,7Networks_LH_DorsAttn_FEF_1,7Networks_LH_DorsAttn_FEF_2,7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_ParOper_2,7Networks_LH_SalVentAttn_ParOper_3,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_FrOperIns_3,7Networks_LH_SalVentAttn_FrOperIns_4,7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_3,7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_OFC_2,7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_2,7Networks_LH_Limbic_TempPole_3,7Networks_LH_Limbic_TempPole_4,7Networks_LH_Cont_Par_1,7Networks_LH_Cont_Par_2,7Networks_LH_Cont_Par_3,7Networks_LH_Cont_Temp_1,7Networks_LH_Cont_OFC_1,7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_PFCl_2,7Networks_LH_Cont_PFCl_3,7Networks_LH_Cont_PFCl_4,7Networks_LH_Cont_PFCl_5,7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_Cing_1,7Networks_LH_Cont_Cing_2,7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_2,7Networks_LH_Default_Temp_3,7Networks_LH_Default_Temp_4,7Networks_LH_Default_Temp_5,7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_2,7Networks_LH_Default_Par_3,7Networks_LH_Default_Par_4,7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_7,7Networks_LH_Default_PFC_8,7Networks_LH_Default_PFC_9,7Networks_LH_Default_PFC_10,7Networks_LH_Default_PFC_11,7Networks_LH_Default_PFC_12,7Networks_LH_Default_PFC_13,7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,7Networks_LH_Default_pCunPCC_3,7Networks_LH_Default_pCunPCC_4,7Networks_LH_Default_PHC_1,7Networks_RH_Vis_1,7Networks_RH_Vis_2,7Networks_RH_Vis_3,7Networks_RH_Vis_4,7Networks_RH_Vis_5,7Networks_RH_Vis_6,7Networks_RH_Vis_7,7Networks_RH_Vis_8,7Networks_RH_Vis_9,7Networks_RH_Vis_10,7Networks_RH_Vis_11,7Networks_RH_Vis_12,7Networks_RH_Vis_13,7Networks_RH_Vis_14,7Networks_RH_Vis_15,7Networks_RH_SomMot_1,7Networks_RH_SomMot_2,7Networks_RH_SomMot_3,7Networks_RH_SomMot_4,7Networks_RH_SomMot_5,7Networks_RH_SomMot_6,7Networks_RH_SomMot_7,7Networks_RH_SomMot_8,7Networks_RH_SomMot_9,7Networks_RH_SomMot_10,7Networks_RH_SomMot_11,7Networks_RH_SomMot_12,7Networks_RH_SomMot_13,7Networks_RH_SomMot_14,7Networks_RH_SomMot_15,7Networks_RH_SomMot_16,7Networks_RH_SomMot_17,7Networks_RH_SomMot_18,7Networks_RH_SomMot_19,7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_Post_6,7Networks_RH_DorsAttn_Post_7,7Networks_RH_DorsAttn_Post_8,7Networks_RH_DorsAttn_Post_9,7Networks_RH_DorsAttn_Post_10,7Networks_RH_DorsAttn_FEF_1,7Networks_RH_DorsAttn_FEF_2,7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_TempOccPar_3,7Networks_RH_SalVentAttn_PrC_1,7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_FrOperIns_2,7Networks_RH_SalVentAttn_FrOperIns_3,7Networks_RH_SalVentAttn_FrOperIns_4,7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_2,7Networks_RH_SalVentAttn_Med_3,7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_OFC_2,7Networks_RH_Limbic_OFC_3,7Networks_RH_Limbic_TempPole_1,7Networks_RH_Limbic_TempPole_2,7Networks_RH_Limbic_TempPole_3,7Networks_RH_Cont_Par_1,7Networks_RH_Cont_Par_2,7Networks_RH_Cont_Par_3,7Networks_RH_Cont_Temp_1,7Networks_RH_Cont_PFCv_1,7Networks_RH_Cont_PFCl_1,7Networks_RH_Cont_PFCl_2,7Networks_RH_Cont_PFCl_3,7Networks_RH_Cont_PFCl_4,7Networks_RH_Cont_PFCl_5,7Networks_RH_Cont_PFCl_6,7Networks_RH_Cont_PFCl_7,7Networks_RH_Cont_pCun_1,7Networks_RH_Cont_Cing_1,7Networks_RH_Cont_Cing_2,7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_PFCmp_2,7Networks_RH_Default_Par_1,7Networks_RH_Default_Par_2,7Networks_RH_Default_Par_3,7Networks_RH_Default_Temp_1,7Networks_RH_Default_Temp_2,7Networks_RH_Default_Temp_3,7Networks_RH_Default_Temp_4,7Networks_RH_Default_Temp_5,7Networks_RH_Default_PFCv_1,7Networks_RH_Default_PFCdPFCm_1,7Networks_RH_Default_PFCdPFCm_2,7Networks_RH_Default_PFCdPFCm_3,7Networks_RH_Default_PFCdPFCm_4,7Networks_RH_Default_PFCdPFCm_5,7Networks_RH_Default_PFCdPFCm_6,7Networks_RH_Default_PFCdPFCm_7,7Networks_RH_Default_pCunPCC_1,7Networks_RH_Default_pCunPCC_2,7Networks_RH_Default_pCunPCC_3
7Networks_LH_Vis_1,0.0,7296.0,674.0,6444.0,171.0,537.0,1583.0,367.0,55.0,4879.0,344.0,450.0,2233.0,308.0,21.0,14.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1597.0,53.0,23.0,2.0,0.0,0.0,40.0,5.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,58.0,12.0,1.0,8.0,2.0,3.0,0.0,0.0,25.0,73.0,1101.0,1083.0,182.0,15.0,6.0,8.0,0.0,74.0,65.0,41.0,8.0,3.0,7.0,1.0,45.0,3.0,0.0,665.0,51.0,86.0,18.0,14.0,2.0,74.0,7.0,16.0,74.0,2.0,27.0,82.0,12.0,2.0,21.0,2.0,12.0,2.0,7.0,4.0,3.0,304.0,35.0,1.0,1.0,2921.0,1.0,1.0,9.0,2.0,13.0,104.0,5.0,59.0,34.0,2.0,3.0,39.0,17.0,48.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,1.0,0.0,0.0,19.0,14.0,5.0
7Networks_LH_Vis_2,7296.0,0.0,6525.0,3353.0,10348.0,83.0,16729.0,853.0,613.0,1148.0,1047.0,87.0,2214.0,1292.0,57.0,39.0,7.0,9.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,5.0,1.0,1.0,4440.0,202.0,58.0,2.0,0.0,1.0,127.0,13.0,11.0,1.0,4.0,9.0,3.0,15.0,5.0,9.0,456.0,41.0,3.0,20.0,5.0,4.0,1.0,3.0,79.0,226.0,1605.0,2759.0,284.0,131.0,18.0,17.0,1.0,473.0,233.0,207.0,29.0,13.0,19.0,7.0,87.0,9.0,0.0,2145.0,294.0,770.0,40.0,55.0,17.0,166.0,26.0,46.0,343.0,5.0,202.0,374.0,79.0,3.0,83.0,7.0,44.0,31.0,27.0,10.0,15.0,137.0,38.0,3.0,6.0,1085.0,8.0,20.0,49.0,10.0,81.0,790.0,25.0,314.0,43.0,18.0,23.0,199.0,111.0,235.0,30.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,45.0,0.0,11.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,2.0,0.0,1.0,3.0,4.0,12.0,25.0,2.0,25.0,5.0,0.0,0.0,2.0,13.0,0.0,10.0,3.0,1.0,0.0,3.0,1.0,0.0,138.0,11.0,0.0,4.0,7.0,1.0,3.0,1.0,13.0,7.0,6.0,4.0,0.0,3.0,1.0,3.0,2.0,37.0,9.0,0.0,0.0,100.0,51.0,16.0
7Networks_LH_Vis_3,674.0,6525.0,0.0,75.0,3682.0,15.0,478.0,9224.0,1616.0,130.0,5710.0,50.0,2564.0,3101.0,50.0,57.0,3.0,21.0,4.0,15.0,2.0,2.0,4.0,3.0,0.0,3.0,5.0,8.0,4.0,1.0,9815.0,3317.0,86.0,6.0,1.0,1.0,133.0,31.0,13.0,8.0,7.0,18.0,29.0,14.0,5.0,9.0,184.0,10.0,2.0,70.0,8.0,0.0,2.0,10.0,16.0,45.0,563.0,1500.0,81.0,46.0,76.0,48.0,0.0,380.0,64.0,43.0,8.0,17.0,142.0,16.0,79.0,11.0,1.0,622.0,144.0,399.0,44.0,35.0,85.0,1248.0,31.0,295.0,77.0,0.0,60.0,85.0,77.0,1.0,23.0,1.0,19.0,14.0,176.0,10.0,22.0,87.0,21.0,1.0,7.0,332.0,2.0,17.0,38.0,7.0,46.0,150.0,18.0,215.0,14.0,15.0,25.0,124.0,56.0,157.0,18.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,28.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,3.0,6.0,3.0,0.0,4.0,1.0,7.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0,1.0,0.0,1.0,131.0,11.0,0.0,0.0,8.0,1.0,2.0,0.0,4.0,15.0,10.0,1.0,2.0,2.0,0.0,1.0,2.0,8.0,7.0,0.0,0.0,53.0,31.0,9.0
7Networks_LH_Vis_4,6444.0,3353.0,75.0,0.0,41.0,590.0,5189.0,55.0,26.0,13397.0,52.0,841.0,2657.0,48.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,234.0,23.0,5.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,54.0,5.0,2.0,4.0,0.0,1.0,0.0,3.0,29.0,73.0,610.0,534.0,105.0,17.0,1.0,1.0,0.0,41.0,64.0,31.0,2.0,1.0,3.0,1.0,46.0,10.0,0.0,607.0,36.0,73.0,4.0,6.0,1.0,13.0,1.0,4.0,69.0,1.0,40.0,86.0,6.0,0.0,17.0,2.0,7.0,4.0,0.0,1.0,1.0,199.0,27.0,0.0,1.0,541.0,0.0,5.0,13.0,10.0,10.0,428.0,6.0,79.0,135.0,9.0,4.0,84.0,33.0,70.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,40.0,14.0,2.0
7Networks_LH_Vis_5,171.0,10348.0,3682.0,41.0,0.0,24.0,7154.0,582.0,19224.0,141.0,4264.0,101.0,1428.0,3615.0,72.0,44.0,3.0,9.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,954.0,317.0,39.0,0.0,0.0,0.0,107.0,23.0,12.0,3.0,3.0,10.0,4.0,14.0,1.0,6.0,511.0,27.0,8.0,20.0,9.0,0.0,1.0,5.0,41.0,98.0,317.0,915.0,62.0,167.0,37.0,17.0,1.0,556.0,99.0,97.0,17.0,11.0,15.0,1.0,137.0,18.0,0.0,1311.0,249.0,1012.0,70.0,81.0,15.0,138.0,23.0,68.0,179.0,2.0,132.0,193.0,67.0,0.0,55.0,5.0,37.0,24.0,20.0,7.0,13.0,235.0,39.0,1.0,6.0,86.0,19.0,61.0,169.0,29.0,241.0,773.0,56.0,928.0,66.0,71.0,74.0,584.0,309.0,727.0,96.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,5.0,0.0,0.0,0.0,87.0,0.0,15.0,12.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,16.0,0.0,0.0,0.0,1.0,5.0,6.0,21.0,9.0,1.0,46.0,8.0,1.0,0.0,4.0,17.0,0.0,11.0,2.0,2.0,0.0,2.0,0.0,1.0,492.0,25.0,0.0,5.0,7.0,6.0,3.0,5.0,35.0,30.0,22.0,2.0,2.0,6.0,1.0,3.0,2.0,12.0,2.0,1.0,0.0,256.0,91.0,29.0
7Networks_LH_Vis_6,537.0,83.0,15.0,590.0,24.0,0.0,216.0,6.0,19.0,2433.0,20.0,181.0,542.0,29.0,36.0,52.0,3.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,29.0,2.0,16.0,0.0,0.0,0.0,41.0,8.0,11.0,0.0,0.0,1.0,1.0,6.0,2.0,1.0,36.0,3.0,0.0,7.0,2.0,39.0,1.0,4.0,2.0,38.0,205.0,71.0,18.0,6.0,4.0,2.0,0.0,14.0,12.0,12.0,8.0,9.0,1.0,0.0,144.0,245.0,16.0,87.0,4.0,63.0,9.0,12.0,2.0,11.0,6.0,4.0,14.0,26.0,9.0,34.0,5.0,86.0,104.0,96.0,10.0,59.0,6.0,2.0,9.0,1815.0,600.0,57.0,57.0,554.0,0.0,2.0,4.0,0.0,2.0,24.0,3.0,19.0,1.0,3.0,1.0,17.0,9.0,21.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,2.0,4.0,0.0,0.0,1.0,1.0,45.0,0.0,16.0,10.0,6.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,2.0,4.0,2.0,13.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,69.0,24.0,2.0,5.0,8.0,0.0,3.0,0.0,4.0,6.0,1.0,1.0,2.0,3.0,6.0,5.0,6.0,12.0,5.0,2.0,0.0,15.0,51.0,43.0
7Networks_LH_Vis_7,1583.0,16729.0,478.0,5189.0,7154.0,216.0,0.0,193.0,8930.0,3746.0,322.0,233.0,24571.0,3049.0,54.0,48.0,6.0,9.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,9.0,1.0,2.0,964.0,215.0,38.0,1.0,0.0,0.0,111.0,16.0,11.0,0.0,2.0,5.0,2.0,13.0,2.0,3.0,454.0,39.0,5.0,24.0,8.0,4.0,1.0,5.0,55.0,159.0,871.0,1353.0,154.0,125.0,19.0,12.0,1.0,369.0,193.0,139.0,27.0,13.0,14.0,4.0,117.0,15.0,3.0,1620.0,243.0,775.0,44.0,53.0,22.0,123.0,23.0,50.0,239.0,4.0,173.0,284.0,69.0,3.0,83.0,10.0,43.0,10.0,12.0,10.0,13.0,405.0,45.0,2.0,7.0,509.0,32.0,94.0,237.0,61.0,296.0,2218.0,125.0,1408.0,165.0,146.0,78.0,1089.0,552.0,1077.0,74.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,5.0,0.0,0.0,0.0,107.0,1.0,21.0,7.0,0.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,5.0,14.0,0.0,0.0,1.0,0.0,0.0,5.0,14.0,15.0,4.0,42.0,22.0,2.0,0.0,2.0,20.0,0.0,14.0,2.0,7.0,0.0,3.0,1.0,0.0,528.0,19.0,0.0,3.0,9.0,3.0,5.0,1.0,33.0,25.0,15.0,6.0,6.0,10.0,2.0,7.0,0.0,24.0,4.0,0.0,0.0,395.0,91.0,27.0
7Networks_LH_Vis_8,367.0,853.0,9224.0,55.0,582.0,6.0,193.0,0.0,751.0,98.0,10765.0,30.0,2243.0,2642.0,100.0,87.0,9.0,52.0,11.0,22.0,19.0,1.0,7.0,4.0,0.0,5.0,4.0,12.0,1.0,1.0,4708.0,8767.0,196.0,6.0,0.0,3.0,209.0,75.0,28.0,7.0,12.0,39.0,53.0,31.0,11.0,39.0,282.0,15.0,20.0,129.0,8.0,2.0,3.0,13.0,15.0,36.0,494.0,1401.0,63.0,70.0,557.0,182.0,11.0,819.0,53.0,36.0,14.0,33.0,230.0,56.0,127.0,10.0,0.0,699.0,234.0,628.0,116.0,400.0,3978.0,9159.0,356.0,3364.0,84.0,1.0,46.0,81.0,122.0,1.0,27.0,5.0,19.0,22.0,297.0,12.0,35.0,80.0,23.0,0.0,3.0,218.0,4.0,2.0,28.0,9.0,26.0,139.0,11.0,143.0,6.0,10.0,12.0,89.0,42.0,113.0,20.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,28.0,0.0,12.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,8.0,3.0,4.0,7.0,1.0,14.0,1.0,1.0,0.0,1.0,7.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,0.0,115.0,7.0,0.0,1.0,14.0,0.0,3.0,1.0,8.0,11.0,4.0,1.0,0.0,5.0,1.0,3.0,1.0,10.0,3.0,0.0,1.0,55.0,32.0,11.0
7Networks_LH_Vis_9,55.0,613.0,1616.0,26.0,19224.0,19.0,8930.0,751.0,0.0,104.0,7841.0,44.0,1788.0,7002.0,56.0,26.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,365.0,223.0,10.0,1.0,0.0,0.0,39.0,7.0,3.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,250.0,6.0,1.0,9.0,6.0,0.0,1.0,5.0,6.0,19.0,93.0,226.0,21.0,47.0,12.0,7.0,0.0,238.0,25.0,20.0,3.0,3.0,9.0,0.0,66.0,9.0,0.0,356.0,93.0,458.0,53.0,23.0,19.0,75.0,17.0,32.0,44.0,0.0,26.0,35.0,23.0,0.0,11.0,1.0,9.0,8.0,11.0,0.0,5.0,231.0,20.0,1.0,0.0,35.0,19.0,45.0,106.0,20.0,146.0,509.0,57.0,605.0,60.0,68.0,49.0,421.0,251.0,460.0,40.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,1.0,0.0,0.0,0.0,48.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,1.0,2.0,28.0,12.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,224.0,13.0,0.0,1.0,3.0,3.0,0.0,0.0,12.0,18.0,6.0,3.0,2.0,6.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,185.0,55.0,10.0
7Networks_LH_Vis_10,4879.0,1148.0,130.0,13397.0,141.0,2433.0,3746.0,98.0,104.0,0.0,173.0,16318.0,32895.0,154.0,27.0,27.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,348.0,47.0,8.0,0.0,0.0,0.0,80.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,91.0,9.0,3.0,5.0,1.0,4.0,1.0,2.0,24.0,106.0,1210.0,744.0,165.0,30.0,4.0,4.0,0.0,84.0,95.0,58.0,6.0,1.0,4.0,1.0,502.0,29.0,1.0,904.0,56.0,148.0,14.0,14.0,2.0,32.0,5.0,8.0,95.0,4.0,78.0,139.0,22.0,2.0,17.0,9.0,17.0,9.0,4.0,5.0,1.0,3224.0,209.0,2.0,3.0,1529.0,14.0,58.0,157.0,233.0,84.0,498.0,36.0,398.0,458.0,63.0,37.0,340.0,179.0,413.0,33.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,39.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,3.0,1.0,23.0,10.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,1.0,0.0,2.0,1.0,0.0,214.0,16.0,1.0,2.0,2.0,3.0,0.0,1.0,21.0,9.0,9.0,1.0,1.0,1.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,179.0,62.0,13.0
