,L_bankssts,L_caudalanteriorcingulate,L_caudalmiddlefrontal,L_cuneus,L_entorhinal,L_fusiform,L_inferiorparietal,L_inferiortemporal,L_isthmuscingulate,L_lateraloccipital,L_lateralorbitofrontal,L_lingual,L_medialorbitofrontal,L_middletemporal,L_parahippocampal,L_paracentral,L_parsopercularis,L_parsorbitalis,L_parstriangularis,L_pericalcarine,L_postcentral,L_posteriorcingulate,L_precentral,L_precuneus,L_rostralanteriorcingulate,L_rostralmiddlefrontal,L_superiorfrontal,L_superiorparietal,L_superiortemporal,L_supramarginal,L_frontalpole,L_temporalpole,L_transversetemporal,L_insula,R_bankssts,R_caudalanteriorcingulate,R_caudalmiddlefrontal,R_cuneus,R_entorhinal,R_fusiform,R_inferiorparietal,R_inferiortemporal,R_isthmuscingulate,R_lateraloccipital,R_lateralorbitofrontal,R_lingual,R_medialorbitofrontal,R_middletemporal,R_parahippocampal,R_paracentral,R_parsopercularis,R_parsorbitalis,R_parstriangularis,R_pericalcarine,R_postcentral,R_posteriorcingulate,R_precentral,R_precuneus,R_rostralanteriorcingulate,R_rostralmiddlefrontal,R_superiorfrontal,R_superiorparietal,R_superiortemporal,R_supramarginal,R_frontalpole,R_temporalpole,R_transversetemporal,R_insula
L_bankssts,0.0,0.0,121.0,8.0,0.0,50.0,4603.5,608.5,23.0,112.5,19.0,20.5,2.0,11251.5,3.0,1.0,460.0,10.0,52.0,7.0,93.0,1.0,422.5,81.0,0.0,83.5,102.5,275.5,7735.5,4203.5,1.0,7.0,35.0,114.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,48.0,0.0,1.0,14.0,36.0,5.0,3.0,0.0,0.0,0.0,1.0
L_caudalanteriorcingulate,0.0,0.0,32.0,1.0,4.0,4.0,7.0,6.0,1339.5,6.0,156.0,9.0,1021.0,8.0,30.0,152.0,74.0,13.0,40.0,1.0,9.0,3661.0,20.0,2677.5,3560.0,270.5,13175.0,37.0,15.0,5.0,85.0,5.0,1.0,115.0,0.0,348.5,65.0,0.0,0.0,0.0,8.0,3.0,29.0,1.0,37.5,0.0,218.0,5.0,1.0,29.0,60.0,9.0,36.5,0.0,8.0,64.0,30.0,85.0,85.5,306.0,1920.0,25.0,5.0,8.0,60.0,0.0,0.0,18.0
L_caudalmiddlefrontal,121.0,32.0,0.0,5.0,1.0,253.5,4243.5,1540.0,23.0,183.0,59.0,20.0,5.0,1436.5,4.0,68.5,12130.0,83.0,838.0,5.0,2931.0,42.0,29038.0,181.5,2.0,24217.0,33933.0,1908.0,407.5,1505.0,4.0,13.0,36.0,727.0,2.0,92.0,638.5,0.0,0.0,1.0,52.0,15.0,22.0,2.0,2.0,0.0,2.0,20.5,1.0,97.0,232.5,6.0,54.5,0.0,32.0,79.0,290.5,141.0,5.0,332.0,3783.0,77.0,11.0,29.0,2.0,0.0,1.0,24.0
L_cuneus,8.0,1.0,5.0,0.0,72.0,405.5,203.0,280.0,1517.0,10974.5,69.0,7990.5,10.0,239.0,493.5,0.0,8.0,21.0,13.0,30661.5,2.0,1.0,5.5,5936.0,1.0,28.0,15.0,15182.5,380.0,13.0,4.0,28.0,9.5,142.5,1.0,1.0,0.0,765.5,4.0,50.0,73.0,38.0,180.5,749.0,4.0,338.0,1.0,24.0,20.0,0.0,0.0,1.0,0.0,323.0,0.0,1.0,1.0,754.0,0.0,1.0,4.0,974.0,36.0,2.0,0.0,1.0,1.0,13.0
L_entorhinal,0.0,4.0,1.0,72.0,0.0,1943.0,25.0,105.5,145.5,77.0,17.0,361.5,6.0,16.5,2020.0,0.0,2.0,3.0,2.0,51.0,1.0,5.5,2.0,279.0,3.0,5.0,17.0,89.5,23.0,2.0,1.0,824.5,1.0,1368.5,0.0,0.0,0.0,3.0,0.0,0.5,1.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
L_fusiform,50.0,4.0,253.5,405.5,1943.0,0.0,4759.5,18807.5,260.5,26284.0,439.0,12729.5,118.0,1801.5,4158.5,1.0,150.5,118.0,88.0,592.0,91.0,6.0,234.0,448.0,8.0,270.0,141.0,2307.0,1223.5,190.0,23.0,1364.5,34.0,658.5,1.0,1.5,3.0,47.0,1.0,12.0,37.5,15.0,33.0,95.0,4.0,40.0,5.0,12.5,4.0,2.0,1.0,0.0,0.0,27.0,1.0,2.5,3.0,239.0,1.0,4.0,28.0,238.5,20.5,5.0,1.0,1.0,1.0,8.0
L_inferiorparietal,4603.5,7.0,4243.5,203.0,25.0,4759.5,0.0,11034.5,422.5,22797.0,343.0,386.0,37.0,21699.0,118.5,26.0,1021.5,131.0,228.0,104.5,2681.5,17.0,4267.5,1981.5,4.0,1172.0,1052.5,59207.5,6775.0,16924.5,16.0,115.5,575.5,1635.5,6.0,8.0,40.5,67.0,1.0,22.0,133.0,46.0,119.0,142.0,6.0,37.0,3.0,47.0,7.0,48.0,12.0,2.0,3.0,36.0,24.0,25.0,70.0,1004.5,2.0,21.0,325.0,915.0,104.0,50.0,1.0,1.0,9.0,31.5
L_inferiortemporal,608.5,6.0,1540.0,280.0,105.5,18807.5,11034.5,0.0,200.0,10690.0,362.5,3089.0,109.5,23760.0,305.5,8.0,1713.5,106.0,277.5,463.0,644.5,10.0,2130.5,567.0,7.0,894.0,682.5,2422.5,1938.0,2924.0,16.0,1379.0,79.5,730.0,3.0,5.0,15.0,25.0,0.0,10.0,66.5,22.0,56.0,56.0,5.0,21.0,5.0,24.0,4.0,10.0,4.0,0.0,1.0,13.0,7.0,10.0,16.0,469.5,1.0,10.0,123.5,362.5,50.0,22.0,1.0,1.0,4.0,17.0
L_isthmuscingulate,23.0,1339.5,23.0,1517.0,145.5,260.5,422.5,200.0,0.0,960.5,92.0,1662.0,358.5,203.0,1386.5,116.0,62.0,18.0,29.0,560.5,48.0,4768.5,57.5,23421.5,1017.0,137.0,4718.5,2956.5,462.5,216.0,53.0,23.0,68.0,179.0,11.0,52.0,24.5,213.5,5.0,31.0,157.0,53.0,962.0,252.0,26.0,112.0,102.0,74.0,24.0,141.5,19.0,7.0,11.5,89.0,62.0,176.0,48.0,2182.5,31.0,110.0,546.5,1080.5,162.0,105.5,34.0,2.0,14.0,44.0
L_lateraloccipital,112.5,6.0,183.0,10974.5,77.0,26284.0,22797.0,10690.0,960.5,0.0,1105.5,16098.0,131.0,6493.0,335.0,2.0,166.5,371.5,278.0,11531.0,65.0,6.0,174.5,890.5,10.0,555.0,258.0,17973.5,5056.5,223.0,57.0,311.5,66.0,1891.5,3.0,4.0,3.0,764.0,5.0,119.0,210.5,93.0,266.0,1414.5,13.0,430.0,7.0,64.5,30.0,2.0,1.0,1.0,1.0,413.5,2.0,5.0,4.0,1539.0,3.0,10.0,45.5,2145.5,102.0,10.0,2.0,3.0,4.0,40.0
L_lateralorbitofrontal,19.0,156.0,59.0,69.0,17.0,439.0,343.0,362.5,92.0,1105.5,0.0,1017.0,5474.0,836.5,29.0,5.0,630.0,10774.5,3916.0,162.5,67.5,79.0,171.0,131.0,658.0,5830.0,905.0,269.0,2057.0,84.0,1049.5,1026.0,12.0,10745.0,0.0,50.5,4.0,1.0,0.0,1.0,6.0,2.0,36.0,3.0,251.5,3.0,1181.0,4.0,1.0,2.0,3.0,16.0,5.0,1.0,1.0,21.0,2.0,66.0,151.0,207.5,544.5,32.0,10.0,2.0,279.5,5.0,0.0,43.0
L_lingual,20.5,9.0,20.0,7990.5,361.5,12729.5,386.0,3089.0,1662.0,16098.0,1017.0,0.0,162.5,1752.0,3398.0,0.0,53.5,313.0,167.5,19166.0,10.0,9.0,29.0,2920.5,14.0,380.0,156.0,2700.0,1518.0,47.0,57.0,354.0,8.0,929.0,0.0,2.0,0.0,252.5,5.0,35.0,33.0,21.0,73.0,297.5,6.0,658.0,10.0,14.0,16.0,0.0,0.0,1.0,0.0,164.0,0.0,1.0,0.0,294.5,3.0,9.0,22.0,364.5,18.0,2.0,2.0,1.0,1.0,8.0
L_medialorbitofrontal,2.0,1021.0,5.0,10.0,6.0,118.0,37.0,109.5,358.5,131.0,5474.0,162.5,0.0,122.0,16.0,7.0,7.0,71.0,15.0,23.0,3.0,483.0,7.5,352.5,8336.5,475.0,6051.5,39.0,223.5,6.0,2619.0,245.0,1.0,2120.5,0.0,189.0,2.0,1.0,1.0,3.0,3.0,6.0,109.0,4.0,761.0,5.0,4758.0,10.0,4.0,3.0,3.0,45.0,10.0,1.0,1.0,73.5,2.0,73.0,715.5,539.5,1891.0,11.0,22.0,1.0,945.5,17.0,0.0,128.0
L_middletemporal,11251.5,8.0,1436.5,239.0,16.5,1801.5,21699.0,23760.0,203.0,6493.0,836.5,1752.0,122.0,0.0,79.0,12.0,2740.5,244.0,477.0,371.5,762.5,13.0,3038.5,630.0,11.0,1024.0,873.5,2847.5,17355.5,9676.0,31.0,854.0,128.0,1154.0,3.0,6.0,15.0,13.0,0.0,5.0,51.0,16.0,51.0,26.0,4.0,11.0,10.0,20.0,2.0,13.0,5.0,1.0,2.0,7.0,10.0,11.0,16.0,434.0,3.0,18.0,146.0,329.0,44.0,26.0,3.0,0.0,4.0,15.0
L_parahippocampal,3.0,30.0,4.0,493.5,2020.0,4158.5,118.5,305.5,1386.5,335.0,29.0,3398.0,16.0,79.0,0.0,1.0,6.0,6.0,4.0,316.5,4.0,46.5,7.0,2149.5,20.0,14.0,132.0,547.5,102.0,15.0,3.0,188.5,8.0,67.0,0.0,1.0,1.0,18.0,1.0,3.5,8.0,3.0,20.0,24.0,1.0,18.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,10.0,2.0,3.0,1.0,92.0,0.0,3.0,16.0,68.0,6.0,2.0,1.0,0.0,0.0,2.0
L_paracentral,1.0,152.0,68.5,0.0,0.0,1.0,26.0,8.0,116.0,2.0,5.0,0.0,7.0,12.0,1.0,0.0,140.0,3.0,25.0,0.0,5925.5,5853.0,10734.5,4193.0,22.0,66.0,10381.0,1445.5,15.5,88.0,1.0,0.0,5.0,92.0,3.0,36.0,106.0,0.0,0.0,1.0,56.0,10.0,35.0,2.0,2.0,0.0,3.0,17.0,2.0,5653.5,41.0,2.0,10.0,0.0,681.5,996.0,3206.0,1090.0,3.0,35.0,2278.5,545.5,32.0,117.5,1.0,0.0,5.0,28.0
L_parsopercularis,460.0,74.0,12130.0,8.0,2.0,150.5,1021.5,1713.5,62.0,166.5,630.0,53.5,7.0,2740.5,6.0,140.0,0.0,563.0,12896.0,12.0,1688.0,98.5,16538.0,355.5,5.0,11182.5,13392.0,885.5,2532.5,3332.0,9.0,31.0,218.0,7149.0,1.0,99.0,281.0,0.0,0.0,0.0,22.0,5.0,18.5,0.5,2.0,0.0,4.0,8.0,1.0,65.0,135.0,5.0,45.0,0.0,20.0,62.5,121.0,112.0,7.0,315.0,2307.5,55.0,7.0,15.0,3.0,0.0,1.0,15.0
