,7Networks_LH_Vis_1,7Networks_LH_Vis_2,7Networks_LH_Vis_3,7Networks_LH_Vis_4,7Networks_LH_Vis_5,7Networks_LH_Vis_6,7Networks_LH_Vis_7,7Networks_LH_Vis_8,7Networks_LH_Vis_9,7Networks_LH_SomMot_1,7Networks_LH_SomMot_2,7Networks_LH_SomMot_3,7Networks_LH_SomMot_4,7Networks_LH_SomMot_5,7Networks_LH_SomMot_6,7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_DorsAttn_FEF_1,7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_3,7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_2,7Networks_LH_Cont_Par_1,7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_Cing_1,7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_2,7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_2,7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_7,7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,7Networks_RH_Vis_1,7Networks_RH_Vis_2,7Networks_RH_Vis_3,7Networks_RH_Vis_4,7Networks_RH_Vis_5,7Networks_RH_Vis_6,7Networks_RH_Vis_7,7Networks_RH_Vis_8,7Networks_RH_SomMot_1,7Networks_RH_SomMot_2,7Networks_RH_SomMot_3,7Networks_RH_SomMot_4,7Networks_RH_SomMot_5,7Networks_RH_SomMot_6,7Networks_RH_SomMot_7,7Networks_RH_SomMot_8,7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_DorsAttn_FEF_1,7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_2,7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_TempPole_1,7Networks_RH_Cont_Par_1,7Networks_RH_Cont_Par_2,7Networks_RH_Cont_PFCl_1,7Networks_RH_Cont_PFCl_2,7Networks_RH_Cont_PFCl_3,7Networks_RH_Cont_PFCl_4,7Networks_RH_Cont_Cing_1,7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_pCun_1,7Networks_RH_Default_Par_1,7Networks_RH_Default_Temp_1,7Networks_RH_Default_Temp_2,7Networks_RH_Default_Temp_3,7Networks_RH_Default_PFCv_1,7Networks_RH_Default_PFCv_2,7Networks_RH_Default_PFCdPFCm_1,7Networks_RH_Default_PFCdPFCm_2,7Networks_RH_Default_PFCdPFCm_3,7Networks_RH_Default_pCunPCC_1,7Networks_RH_Default_pCunPCC_2
7Networks_LH_Vis_1,0.0,50.9286888750656,28.27569006705535,92.592030104847,88.28528657615385,38.47850074031865,75.8844942764827,91.41953137819269,85.70251923785341,137.345127310072,135.91607983907102,171.41718419392902,150.1509756360735,144.16186930338552,140.014703172253,36.66544398013065,138.4694292986835,103.717247876485,107.52291361490899,123.7329569014295,143.66835656416998,174.436087809111,161.747810241411,145.02480622493852,129.7157374882195,166.8303942044575,174.554335021973,129.52329928119,132.3522364298505,148.07225371852098,134.99970625097097,41.0691699914767,81.3020502373819,127.6287704043915,177.5081809099985,79.55399039572325,76.65363291690224,119.812358243712,138.6377827538385,136.950826498178,105.709443736737,135.48280605147852,160.5212225614535,156.7020513734155,157.45000965118402,167.8559832863965,161.77487652852,167.902169799805,43.64567376759965,72.14131998149115,143.49656644548702,160.401914215088,180.3422247568765,179.2644707361855,145.68970210665748,138.028865806127,180.596095085144,173.35254588700298,182.260678609212,0.0,0.0,0.0,0.0,0.0,0.0,153.017017364502,172.945726122175,0.0,0.0,168.9697245648465,161.27551360357398,0.0,0.0,141.644561767578,0.0,181.9570497785295,127.14809926350901,186.58989226512398,198.04903411865251,182.4473842718665,147.9038639068605,165.04998641967802,204.96368560791,0.0,0.0,0.0,105.6385903618555,187.2752214159285,155.7124913603395,0.0,191.592514038086,197.337897745768,181.3389892578125,0.0,0.0,204.5038758686615,208.675635231866,168.0271911621095,137.2898788452145,142.174541473389
7Networks_LH_Vis_2,50.9286888750656,0.0,27.37212351906965,31.294010471502247,24.6012845263399,57.7973358621124,65.84464510813686,63.49849930886405,77.79493537131845,146.0403478250565,172.91302108764648,193.99906539917,188.007742140028,188.2530755996705,202.52350311279298,34.70100067750925,182.200300216675,127.8601932761035,125.128139813741,182.4320134480795,178.8348813143645,201.73454007466648,194.7656178692585,178.052169054608,113.175407242769,168.5661015140325,186.7921155573245,193.4572991507395,0.0,204.9554189046225,162.31140047545648,113.4474836031135,105.275561474523,169.00930920304899,194.78773465970698,131.699662456745,148.901924133301,123.58352333151049,136.1914429572835,157.05007399045502,152.016103213775,155.103926442051,176.330284756055,182.450016189155,179.903377233159,194.3887562595055,189.1236847325375,192.697453030673,98.8617562774105,150.9829058329265,179.3939990997315,178.89348424275698,184.0241395064765,177.7611885208215,144.839481086624,155.33154596181998,178.0824084351795,174.803815501565,199.4867717069735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.20308817987848,0.0,0.0,178.600748056629,207.048930697971,0.0,0.0,175.608085632324,0.0,197.12383117675802,0.0,208.3292973836265,210.656862258911,205.095932700417,181.28286997477198,179.4990611076355,229.211578877767,0.0,212.09517124720998,0.0,157.758962086269,212.520273844401,167.7456007270295,0.0,201.208611806234,208.862753868103,198.3001823425295,213.895306269328,0.0,219.91044933765,228.420639692034,0.0,142.58778839400298,167.28053754170702
7Networks_LH_Vis_3,28.27569006705535,27.37212351906965,0.0,75.33011575314515,25.37546720765235,23.874740632421002,76.4437196430743,75.98436293389341,59.21569704172465,146.27240313062,140.281672000885,188.939636993408,179.2374099731445,171.731254577637,173.1133613586425,51.8735470011913,137.643852233887,115.540111055561,0.0,166.916856245561,160.4472818374635,198.1889347500275,181.26842371622752,172.3189005533855,116.0529005713565,161.306536206028,175.759967041016,166.380293528239,0.0,189.1240951538085,149.2686614111435,94.52343488575895,98.9680885576393,157.299787902832,189.1962181009275,98.66012680689495,116.461368791985,116.427850398034,139.48303367811098,154.57678342877,141.7466061463465,143.40082754446252,165.337116051039,168.4267351241335,168.1372252754185,185.537225869986,182.2322268119225,180.2594261169435,55.15686653749185,97.15937183214271,149.53322601318348,155.95096912384048,181.389132799421,174.3184535646215,67.21296556165339,137.5992267564045,177.45264787385,169.191448579676,190.96142617250098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0916614284765,0.0,0.0,178.578441238403,195.78625106811552,0.0,0.0,0.0,0.0,189.889057159424,0.0,0.0,199.74398498535152,184.777143859863,0.0,168.824348025852,216.551579284668,0.0,0.0,0.0,130.7268524169925,190.99764251709001,165.67857170104952,0.0,195.71505673726398,203.15791341993548,181.836894989014,0.0,0.0,208.432823181152,218.5091456821985,0.0,136.61973357403048,163.5071537381125
7Networks_LH_Vis_4,92.592030104847,31.294010471502247,75.33011575314515,0.0,23.928008257660352,72.8945773680662,33.764429387918696,36.062163609192396,77.89943695851406,139.6984092483,172.0179347991945,197.6708641339065,192.9105328030055,193.1128217863,200.98557560027598,42.40924803334935,183.000207265218,140.0214898054595,0.0,186.84151349748902,184.2855644226075,205.06793047587098,200.5678246238015,179.1637772454155,115.633702690326,176.87731203109502,195.7267556527945,202.6070836874155,0.0,208.45179665606952,176.236244073656,135.0233483179575,115.81516749865801,173.893566088341,201.145809476338,128.260484420204,126.635795037406,131.43433675247599,131.269861589031,156.4893329326925,161.6054747442745,168.031559240257,187.53075058337748,196.29882518450398,192.376848021357,202.929034188171,194.9077137708665,199.4957427978515,94.31821606637234,154.6521494547525,189.01786235909998,187.5190563250605,186.213505837794,179.6917770652925,173.6823239689425,159.033373155576,176.4434838110165,172.624906701363,199.494206564767,0.0,0.0,0.0,0.0,0.0,0.0,152.5012435913085,178.0429716843825,0.0,151.030319213867,171.84587717274002,203.405551161085,0.0,0.0,189.5001728086545,0.0,197.593439526028,0.0,207.8836975097655,222.105344136556,212.624896682757,194.448356628418,177.097838310095,233.6109101122075,0.0,0.0,0.0,151.620170794035,210.6086088816325,157.7254094979735,177.674814097087,204.47082808413649,212.674062875601,201.279732767741,226.463686625163,0.0,224.946124267578,231.81158638000448,0.0,137.53220437665,155.1526160169605
7Networks_LH_Vis_5,88.28528657615385,24.6012845263399,25.37546720765235,23.928008257660352,0.0,32.21942553472055,113.333190987054,29.68751713243535,25.12385983942755,141.82712259889752,170.471029177579,198.412000656128,195.165515645345,198.06575508117697,203.354670206706,99.6820681524604,178.2238655090335,155.4314309832915,0.0,188.125803375244,190.5611877441405,207.260649435448,202.705683194674,181.0430894579205,116.909197322207,175.3343500235145,193.52740409157502,198.5981986999515,0.0,207.8604102857185,172.9276944847515,132.08502206036098,117.1236397599555,176.7283000946045,201.16843182599098,128.7287800251685,127.894641049703,131.5798657658025,135.0601075293235,160.356172011449,169.097334781446,164.9472406254155,185.6689405022155,192.60862022533752,189.66914213646652,201.7533232434615,198.4305539812365,199.465950012207,84.41635279386941,145.828323318019,177.5273194107715,159.048006108115,181.7812451799515,157.1028837119105,89.8009008048882,149.9028784794845,172.7421291983405,163.036362997619,199.669845581055,0.0,0.0,0.0,0.0,0.0,0.0,148.60882568359398,177.7489205410605,0.0,0.0,170.4986232692755,202.5228969573975,0.0,0.0,186.292729695638,0.0,194.3044637839,0.0,204.3301175435385,212.2856432596845,201.661441293256,191.950171576606,177.6971913746425,229.117797978719,0.0,0.0,0.0,150.19342245374452,209.781791455818,155.01143727158052,175.96636428833,196.9220167795815,204.910186093648,199.627100030859,217.07817521033348,0.0,222.93127976145098,230.94853210449202,0.0,132.75130311927552,153.641898428455
7Networks_LH_Vis_6,38.47850074031865,57.7973358621124,23.874740632421002,72.8945773680662,32.21942553472055,0.0,110.2349757354455,57.8676482070768,25.7014422543017,125.042928753477,118.84578564961751,172.9818471272785,166.62861810411698,167.3344142913815,125.603023783366,99.77302355580514,0.0,91.89145425925574,0.0,114.4260957956315,164.9454364776615,188.488787841797,178.853439331055,145.1262459754945,120.737168049362,166.6066822687785,177.7156398773195,111.55598654169,125.63028125762901,125.1399045308435,163.95312441049998,100.0620112477595,116.933872641569,120.63597011566151,185.416390000728,56.4654342621495,58.0464911047791,130.8395549278595,134.5500923156735,142.7709740925505,134.1060338195565,157.7015671008525,177.505605311766,147.451376701124,180.5280551925015,156.365889176952,182.625429789225,172.5125370025635,23.147388145611203,56.7300250666403,146.8939372970305,140.6796287374425,166.9292294019185,153.762316191774,70.57321648244451,111.0587169180385,154.34089644605552,139.434360849293,177.657433827718,0.0,0.0,0.0,0.0,0.0,108.4313259124755,133.483019510905,161.28255258901402,0.0,104.945022583008,149.22259014230048,145.447283232654,146.097709655762,0.0,162.0265426635745,128.9545542399085,181.4143349817925,110.7923810141425,167.159862383674,207.272019958496,182.624972552314,142.7204449971515,155.476799120848,219.24187211866501,0.0,189.8566398620605,163.3772830963135,91.4525437281682,174.6453404793375,130.771935267969,127.980048942566,188.0387873584865,194.8717250823975,182.5786693942165,205.7260773976645,162.390693664551,206.898057937622,201.7868513561435,173.15744400024448,108.3739627083755,122.474626788279
7Networks_LH_Vis_7,75.8844942764827,65.84464510813686,76.4437196430743,33.764429387918696,113.333190987054,110.2349757354455,0.0,37.62319299224255,78.80915284095076,116.25861678503551,130.44849116007452,143.67247566206652,115.970993876696,114.2151556765635,147.05355517352052,39.62315066059955,115.398779296875,63.03667965191785,102.4290686283475,124.56933056224449,112.7115572866345,134.867801442139,133.619501139705,112.3890347491255,104.7143170394665,155.71564988529002,167.292257890344,179.365582148234,125.557332038879,159.756566471409,161.64909489041298,112.8696683385525,87.78241459963834,94.5362254631082,152.96886604723102,97.13658642092966,109.98297044965949,115.0795196386955,97.4526253617328,33.25465553719205,42.507600867821296,153.4189268638885,169.5587603562855,182.404644012451,177.8008713932045,182.96094402085,129.9699859129565,146.494008324363,97.34519859237335,122.22843832288501,181.2112113952635,181.559062957764,178.285141170726,180.14327223116499,174.150021680196,159.90894601744202,172.14023996743202,171.048965132864,185.8310565948485,0.0,0.0,0.0,0.0,0.0,157.752513885498,181.166528390124,169.7890957423615,0.0,145.1738443045785,167.926934241727,174.158566792806,194.39332834879548,186.392917251587,168.041129302979,156.270066579183,187.668604787191,160.0073463439945,189.358528604313,210.81130218505848,204.53427470814103,168.095329284668,166.5640020370485,225.6584434509275,0.0,203.187577565511,194.031544494629,131.729437163382,198.15002822876,158.11638194988052,153.323986053467,192.9992809295655,200.2893717447915,185.382977803548,203.0473709106445,0.0,216.70174942016598,213.5610173543295,195.6176401774085,137.3317844754175,150.302272824334
7Networks_LH_Vis_8,91.41953137819269,63.49849930886405,75.98436293389341,36.062163609192396,29.68751713243535,57.8676482070768,37.62319299224255,0.0,31.0143322350328,116.416461995254,136.29419114854602,171.1414279060805,157.5354089807065,141.8639274201665,155.484343610491,66.37856019514629,154.85852166378152,39.176584625344645,125.67765041312751,113.477474328026,127.488766933705,175.986956734622,148.550951108651,147.31846393770599,110.253196263933,175.4374801859455,180.8221165339155,186.79872377681352,143.4726371765135,170.22190342778748,177.9045757416845,133.970972406103,114.350290323353,86.26238853079884,180.164229740393,71.74778848580516,98.2917803321963,126.270304487765,115.62663323975451,123.9693656483975,70.24578227244565,168.486941118088,186.7591539723565,195.58388857918,192.47153752261949,196.2382668449765,149.9420497325315,156.7533980090205,70.6806242879243,106.982280259452,183.679405012585,181.806957531867,179.5991504440135,173.3070534316165,164.3190144232415,150.27287573229552,168.28387393585848,162.49415710514,190.94628087093952,154.481880187988,0.0,0.0,0.0,172.8122380574545,176.6422454833985,183.361093521118,170.2080455525715,0.0,171.6012268066405,162.04218557627502,176.388866196157,201.74162847345502,192.187156677246,189.022543386251,184.8615919325085,191.5943501790365,164.781214141846,193.97743682861352,225.6812342689155,207.0922285668145,180.8334649948845,168.70281748804,235.0823890686035,0.0,214.5351777510205,202.87577056884749,130.313099316188,201.3251084547775,146.811754037554,176.8211798667905,199.318837571764,205.55196634322903,194.5035605950655,224.57613954089948,223.030933380127,223.4424514770505,220.7485008239745,205.0321857028535,126.2676496261915,141.8697753953345
7Networks_LH_Vis_9,85.70251923785341,77.79493537131845,59.21569704172465,77.89943695851406,25.12385983942755,25.7014422543017,78.80915284095076,31.0143322350328,0.0,117.846873338727,132.71900499131948,171.359764644078,162.9528678894045,156.33523579647698,154.105995904832,96.19838039394305,151.0070343017575,47.4351820260471,113.087341308594,110.268009346134,140.2374060494555,183.8042200261895,158.3755460270275,145.3605852860675,114.88450478840801,181.08888735089948,187.0354063245985,166.2771610408635,115.80051930745401,167.93039766947402,184.0460031759855,134.5758770452355,124.851415247677,87.50525484499335,190.337080367691,34.0471189645224,81.18725616528795,133.4260636527555,121.0435695982695,132.020525672219,104.119618754356,174.78924234241998,193.96469034629848,195.906484603882,199.507947177521,201.0427012158675,162.6342239379885,161.4189529418945,43.3391945580825,79.1716371231133,175.0521967243015,172.0613826569725,174.42044232550148,166.447012922252,137.7792394182265,138.81197338141902,160.8318659375505,152.30396566162,186.63349796239902,131.908749262492,0.0,0.0,0.0,0.0,167.303943634033,176.1330250173375,164.846996404298,0.0,160.551155090332,154.64888812647848,170.0434154711275,192.91891860961903,182.671659787496,183.467695024278,178.954092172476,188.34309274179,151.411212627704,192.40488609900848,225.0307138231065,200.840194727245,172.23076820373552,162.877389763341,232.74107869466098,0.0,0.0,192.89390436808299,120.01607652144,190.7650248209635,137.302846015987,169.77428393893751,195.49497021406148,202.55160074751097,191.02668524929248,220.7282788412915,211.65834808349598,217.2343940734865,215.73147648402602,186.0017861260305,117.3209711482225,132.7047109686275
7Networks_LH_SomMot_1,137.345127310072,146.0403478250565,146.27240313062,139.6984092483,141.82712259889752,125.042928753477,116.25861678503551,116.416461995254,117.846873338727,0.0,30.37637749989075,54.79940901567575,117.09024515269749,127.585418285827,124.09050706115801,127.8536237833785,90.75945748647315,102.39647532452051,113.565858104012,103.71299078369799,100.551043840281,111.37763953855051,147.425104669192,43.23227504385325,44.01922558579265,102.63171213202,161.5196895599365,157.142514601111,113.928058110504,154.942807602464,173.969797086315,133.722330582241,122.7418047043975,101.719743174202,136.32639141231,105.5214659148305,92.5832913562505,46.22670182314165,42.1783980609453,41.00833671761255,95.7931786953972,135.8640939463735,127.3399204546255,184.7611779106985,172.9450564356575,161.1719513767375,152.73776326568452,156.4937000067855,101.731138493588,102.1063379014825,190.205281829834,202.131293402778,188.8758961070665,203.480705925913,195.658630371094,174.8692275728495,187.885900115967,189.800011288989,173.0774988303085,157.7440236409505,176.193835449219,164.73321342468302,163.6157923380535,161.12561798095697,148.4326720830555,157.8671050528125,180.822722117106,147.1721198138065,154.557131237454,165.969830949474,152.0841984080785,197.065663771196,190.46105213078948,168.9316968009585,158.700168192186,182.6350820268905,138.3893773555755,191.227764967011,191.6304779052735,209.036444492829,158.43578714310752,169.718016568352,209.163019353693,196.5628954569495,195.140552520752,193.6353222438265,115.3207770021055,189.71523920695,154.319681965614,161.965119640644,190.0826595012955,197.4397260225735,179.2953177860805,213.487155914307,202.06919097900402,202.99322128295898,202.2399612426755,195.34132919311548,148.15077422215398,144.388899853101
