,7Networks_LH_Vis_1,7Networks_LH_Vis_2,7Networks_LH_Vis_3,7Networks_LH_Vis_4,7Networks_LH_Vis_5,7Networks_LH_Vis_6,7Networks_LH_Vis_7,7Networks_LH_Vis_8,7Networks_LH_Vis_9,7Networks_LH_Vis_10,7Networks_LH_Vis_11,7Networks_LH_Vis_12,7Networks_LH_Vis_13,7Networks_LH_Vis_14,7Networks_LH_SomMot_1,7Networks_LH_SomMot_2,7Networks_LH_SomMot_3,7Networks_LH_SomMot_4,7Networks_LH_SomMot_5,7Networks_LH_SomMot_6,7Networks_LH_SomMot_7,7Networks_LH_SomMot_8,7Networks_LH_SomMot_9,7Networks_LH_SomMot_10,7Networks_LH_SomMot_11,7Networks_LH_SomMot_12,7Networks_LH_SomMot_13,7Networks_LH_SomMot_14,7Networks_LH_SomMot_15,7Networks_LH_SomMot_16,7Networks_LH_DorsAttn_Post_1,7Networks_LH_DorsAttn_Post_2,7Networks_LH_DorsAttn_Post_3,7Networks_LH_DorsAttn_Post_4,7Networks_LH_DorsAttn_Post_5,7Networks_LH_DorsAttn_Post_6,7Networks_LH_DorsAttn_Post_7,7Networks_LH_DorsAttn_Post_8,7Networks_LH_DorsAttn_Post_9,7Networks_LH_DorsAttn_Post_10,7Networks_LH_DorsAttn_FEF_1,7Networks_LH_DorsAttn_FEF_2,7Networks_LH_DorsAttn_PrCv_1,7Networks_LH_SalVentAttn_ParOper_1,7Networks_LH_SalVentAttn_ParOper_2,7Networks_LH_SalVentAttn_ParOper_3,7Networks_LH_SalVentAttn_FrOperIns_1,7Networks_LH_SalVentAttn_FrOperIns_2,7Networks_LH_SalVentAttn_FrOperIns_3,7Networks_LH_SalVentAttn_FrOperIns_4,7Networks_LH_SalVentAttn_PFCl_1,7Networks_LH_SalVentAttn_Med_1,7Networks_LH_SalVentAttn_Med_2,7Networks_LH_SalVentAttn_Med_3,7Networks_LH_Limbic_OFC_1,7Networks_LH_Limbic_OFC_2,7Networks_LH_Limbic_TempPole_1,7Networks_LH_Limbic_TempPole_2,7Networks_LH_Limbic_TempPole_3,7Networks_LH_Limbic_TempPole_4,7Networks_LH_Cont_Par_1,7Networks_LH_Cont_Par_2,7Networks_LH_Cont_Par_3,7Networks_LH_Cont_Temp_1,7Networks_LH_Cont_OFC_1,7Networks_LH_Cont_PFCl_1,7Networks_LH_Cont_PFCl_2,7Networks_LH_Cont_PFCl_3,7Networks_LH_Cont_PFCl_4,7Networks_LH_Cont_PFCl_5,7Networks_LH_Cont_pCun_1,7Networks_LH_Cont_Cing_1,7Networks_LH_Cont_Cing_2,7Networks_LH_Default_Temp_1,7Networks_LH_Default_Temp_2,7Networks_LH_Default_Temp_3,7Networks_LH_Default_Temp_4,7Networks_LH_Default_Temp_5,7Networks_LH_Default_Par_1,7Networks_LH_Default_Par_2,7Networks_LH_Default_Par_3,7Networks_LH_Default_Par_4,7Networks_LH_Default_PFC_1,7Networks_LH_Default_PFC_2,7Networks_LH_Default_PFC_3,7Networks_LH_Default_PFC_4,7Networks_LH_Default_PFC_5,7Networks_LH_Default_PFC_6,7Networks_LH_Default_PFC_7,7Networks_LH_Default_PFC_8,7Networks_LH_Default_PFC_9,7Networks_LH_Default_PFC_10,7Networks_LH_Default_PFC_11,7Networks_LH_Default_PFC_12,7Networks_LH_Default_PFC_13,7Networks_LH_Default_pCunPCC_1,7Networks_LH_Default_pCunPCC_2,7Networks_LH_Default_pCunPCC_3,7Networks_LH_Default_pCunPCC_4,7Networks_LH_Default_PHC_1,7Networks_RH_Vis_1,7Networks_RH_Vis_2,7Networks_RH_Vis_3,7Networks_RH_Vis_4,7Networks_RH_Vis_5,7Networks_RH_Vis_6,7Networks_RH_Vis_7,7Networks_RH_Vis_8,7Networks_RH_Vis_9,7Networks_RH_Vis_10,7Networks_RH_Vis_11,7Networks_RH_Vis_12,7Networks_RH_Vis_13,7Networks_RH_Vis_14,7Networks_RH_Vis_15,7Networks_RH_SomMot_1,7Networks_RH_SomMot_2,7Networks_RH_SomMot_3,7Networks_RH_SomMot_4,7Networks_RH_SomMot_5,7Networks_RH_SomMot_6,7Networks_RH_SomMot_7,7Networks_RH_SomMot_8,7Networks_RH_SomMot_9,7Networks_RH_SomMot_10,7Networks_RH_SomMot_11,7Networks_RH_SomMot_12,7Networks_RH_SomMot_13,7Networks_RH_SomMot_14,7Networks_RH_SomMot_15,7Networks_RH_SomMot_16,7Networks_RH_SomMot_17,7Networks_RH_SomMot_18,7Networks_RH_SomMot_19,7Networks_RH_DorsAttn_Post_1,7Networks_RH_DorsAttn_Post_2,7Networks_RH_DorsAttn_Post_3,7Networks_RH_DorsAttn_Post_4,7Networks_RH_DorsAttn_Post_5,7Networks_RH_DorsAttn_Post_6,7Networks_RH_DorsAttn_Post_7,7Networks_RH_DorsAttn_Post_8,7Networks_RH_DorsAttn_Post_9,7Networks_RH_DorsAttn_Post_10,7Networks_RH_DorsAttn_FEF_1,7Networks_RH_DorsAttn_FEF_2,7Networks_RH_DorsAttn_PrCv_1,7Networks_RH_SalVentAttn_TempOccPar_1,7Networks_RH_SalVentAttn_TempOccPar_2,7Networks_RH_SalVentAttn_TempOccPar_3,7Networks_RH_SalVentAttn_PrC_1,7Networks_RH_SalVentAttn_FrOperIns_1,7Networks_RH_SalVentAttn_FrOperIns_2,7Networks_RH_SalVentAttn_FrOperIns_3,7Networks_RH_SalVentAttn_FrOperIns_4,7Networks_RH_SalVentAttn_Med_1,7Networks_RH_SalVentAttn_Med_2,7Networks_RH_SalVentAttn_Med_3,7Networks_RH_Limbic_OFC_1,7Networks_RH_Limbic_OFC_2,7Networks_RH_Limbic_OFC_3,7Networks_RH_Limbic_TempPole_1,7Networks_RH_Limbic_TempPole_2,7Networks_RH_Limbic_TempPole_3,7Networks_RH_Cont_Par_1,7Networks_RH_Cont_Par_2,7Networks_RH_Cont_Par_3,7Networks_RH_Cont_Temp_1,7Networks_RH_Cont_PFCv_1,7Networks_RH_Cont_PFCl_1,7Networks_RH_Cont_PFCl_2,7Networks_RH_Cont_PFCl_3,7Networks_RH_Cont_PFCl_4,7Networks_RH_Cont_PFCl_5,7Networks_RH_Cont_PFCl_6,7Networks_RH_Cont_PFCl_7,7Networks_RH_Cont_pCun_1,7Networks_RH_Cont_Cing_1,7Networks_RH_Cont_Cing_2,7Networks_RH_Cont_PFCmp_1,7Networks_RH_Cont_PFCmp_2,7Networks_RH_Default_Par_1,7Networks_RH_Default_Par_2,7Networks_RH_Default_Par_3,7Networks_RH_Default_Temp_1,7Networks_RH_Default_Temp_2,7Networks_RH_Default_Temp_3,7Networks_RH_Default_Temp_4,7Networks_RH_Default_Temp_5,7Networks_RH_Default_PFCv_1,7Networks_RH_Default_PFCdPFCm_1,7Networks_RH_Default_PFCdPFCm_2,7Networks_RH_Default_PFCdPFCm_3,7Networks_RH_Default_PFCdPFCm_4,7Networks_RH_Default_PFCdPFCm_5,7Networks_RH_Default_PFCdPFCm_6,7Networks_RH_Default_PFCdPFCm_7,7Networks_RH_Default_pCunPCC_1,7Networks_RH_Default_pCunPCC_2,7Networks_RH_Default_pCunPCC_3
7Networks_LH_Vis_1,0.0,8741.5,958.5,6067.0,226.0,1030.5,685.5,254.0,100.5,2048.0,363.5,203.0,696.5,392.5,18.0,13.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1670.5,23.0,12.0,0.0,0.0,0.0,21.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,53.0,7.0,1.0,4.0,3.0,1.0,0.0,1.0,34.0,86.0,892.0,738.0,130.5,27.0,3.0,3.0,0.0,34.0,46.0,19.0,6.5,4.0,4.0,2.0,45.0,3.0,1.0,461.0,73.5,93.0,17.0,11.0,3.0,62.5,4.0,12.0,80.0,2.0,18.0,49.0,7.0,1.0,8.0,2.0,3.0,1.0,5.0,1.0,2.0,197.0,16.0,0.0,4.0,3789.0,1.0,2.0,4.0,4.0,1.0,18.0,4.0,9.0,10.5,7.0,2.0,23.0,16.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,6.0,5.0
7Networks_LH_Vis_2,8741.5,0.0,5721.5,5888.0,10530.0,93.0,15877.0,543.0,1922.0,1191.0,1499.5,71.0,1450.0,2011.5,68.0,28.0,3.0,7.0,2.0,4.0,4.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,4346.0,80.0,24.0,1.0,0.0,1.0,46.0,8.0,9.0,3.0,2.0,4.0,4.0,13.0,3.0,7.0,430.5,49.0,4.0,19.0,14.0,1.0,0.0,3.0,129.0,291.5,1092.0,1589.0,215.5,221.0,11.0,10.0,1.0,196.0,198.0,102.0,37.5,18.0,13.0,6.0,55.0,7.0,1.0,1711.0,441.0,595.5,82.0,43.0,9.0,120.0,16.0,38.0,394.0,7.0,110.0,210.5,41.0,4.0,43.0,4.0,19.0,6.0,13.0,6.0,7.0,73.0,11.0,0.0,7.0,1128.0,4.0,5.0,13.0,7.0,6.0,103.0,10.0,35.5,28.0,19.0,8.0,86.0,46.0,102.5,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,25.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,60.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,9.0,1.0,0.0,0.0,32.0,22.0,16.0
7Networks_LH_Vis_3,958.5,5721.5,0.0,107.0,2723.0,17.0,262.5,9406.0,1148.0,79.0,6068.0,26.0,927.5,2400.5,78.5,62.0,4.0,7.0,2.0,10.0,21.0,0.0,8.0,5.0,10.0,6.0,5.0,3.0,2.0,1.0,9845.5,2210.5,63.0,3.0,2.0,4.0,98.5,19.0,12.0,7.0,11.0,9.0,10.0,15.0,4.0,9.0,181.5,13.0,2.0,20.0,9.0,1.0,0.0,5.0,30.0,65.0,577.5,1145.0,80.0,70.0,17.0,23.0,4.0,179.0,44.0,27.0,11.0,15.0,27.0,26.5,82.5,5.0,0.0,563.0,188.5,316.0,69.0,50.0,46.0,1131.0,18.0,165.5,90.0,2.0,26.0,47.0,21.0,1.0,11.0,1.0,8.0,2.0,56.0,8.0,8.0,43.0,8.0,0.0,6.0,533.0,3.0,2.0,6.0,2.0,4.0,27.5,4.0,18.0,8.0,8.0,5.0,43.0,23.0,57.5,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,21.0,0.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,2.0,0.0,0.0,2.0,4.0,0.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,20.0,18.0,15.0
7Networks_LH_Vis_4,6067.0,5888.0,107.0,0.0,94.0,1667.0,6090.0,34.0,42.0,15535.0,47.5,684.5,1814.0,113.5,8.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.5,9.0,3.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,56.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,34.0,81.0,427.0,349.5,78.0,33.0,2.0,2.0,0.0,27.0,48.0,22.0,7.0,3.0,2.0,1.0,24.0,2.0,0.0,419.5,73.0,76.0,10.0,6.0,1.0,15.0,2.0,6.0,87.0,2.0,24.0,55.0,8.0,1.0,9.0,1.0,4.0,1.0,2.0,1.0,1.0,130.0,8.0,0.0,2.0,760.5,2.0,5.0,10.0,17.0,2.0,48.0,9.5,15.0,68.5,17.0,2.0,42.0,33.0,45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,5.0,4.0
7Networks_LH_Vis_5,226.0,10530.0,2723.0,94.0,0.0,19.0,6036.0,211.0,14617.0,267.5,3396.0,36.0,779.0,2141.5,66.0,19.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,390.5,50.5,10.0,0.0,0.0,0.0,23.0,4.0,5.0,1.0,1.0,2.0,2.0,7.0,2.0,4.0,318.5,21.0,2.0,8.5,6.0,0.0,0.0,1.0,36.0,75.0,206.0,415.0,54.0,139.5,6.0,6.0,1.0,122.0,61.0,37.0,15.0,7.0,5.0,2.0,40.0,4.0,0.0,636.0,232.0,462.5,62.0,28.0,4.0,49.0,9.0,20.0,140.0,2.0,43.0,68.0,18.0,1.0,17.0,1.0,8.0,2.0,4.0,2.0,3.0,55.0,6.0,0.0,4.0,90.0,8.0,7.0,19.0,8.0,12.0,119.0,13.0,70.0,30.0,32.0,13.0,164.0,83.0,184.0,30.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,36.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,6.0,5.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,55.0,31.0,17.0
7Networks_LH_Vis_6,1030.5,93.0,17.0,1667.0,19.0,0.0,156.5,9.0,15.0,3251.0,17.0,346.5,525.0,55.0,14.0,17.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,3.0,10.0,0.0,0.0,0.0,36.0,2.0,11.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,16.0,1.0,0.0,2.0,1.0,62.0,3.0,3.0,3.0,12.0,194.0,43.5,21.0,3.0,2.0,3.0,0.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,335.0,106.0,17.0,32.0,7.0,18.5,5.0,6.0,0.0,14.0,2.0,4.0,5.0,9.0,1.0,14.0,2.0,45.0,34.0,70.5,9.0,35.0,1.0,1.0,8.0,1717.5,317.5,21.0,69.5,1113.0,1.0,2.0,2.0,2.0,1.0,11.0,4.0,6.0,6.0,6.0,1.0,16.0,11.0,21.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,8.0,1.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,3.0,1.0,0.0,12.0,18.0,24.0
7Networks_LH_Vis_7,685.5,15877.0,262.5,6090.0,6036.0,156.5,0.0,99.5,11921.0,6309.0,274.5,229.0,17504.0,3462.0,80.0,27.0,2.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,327.0,47.0,12.0,1.0,0.0,0.5,30.5,5.0,7.0,2.0,1.0,2.0,2.0,10.0,2.0,5.0,358.0,31.0,2.0,10.0,8.0,1.0,0.0,2.0,64.0,147.0,369.0,537.0,91.0,166.0,7.0,8.0,1.0,136.0,106.0,59.5,22.0,10.0,7.0,3.0,62.0,7.0,1.0,903.5,270.5,498.0,67.0,35.0,5.0,56.0,10.0,25.0,221.5,3.0,66.0,114.0,25.0,2.0,26.0,2.0,13.0,3.0,6.0,3.0,5.0,183.0,12.0,0.0,7.0,231.0,15.0,18.0,72.0,36.5,26.0,514.5,37.0,187.0,163.5,88.0,28.0,447.0,217.5,417.5,60.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,63.0,0.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,13.0,7.0,1.0,0.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,4.0,0.0,1.0,1.0,12.0,1.0,2.0,13.0,12.0,10.0,2.0,1.0,0.0,2.0,1.0,0.0,4.0,0.5,0.0,0.0,131.0,50.0,25.0
7Networks_LH_Vis_8,254.0,543.0,9406.0,34.0,211.0,9.0,99.5,0.0,424.0,36.0,10290.5,19.0,830.0,2564.5,122.0,107.0,8.0,23.0,4.0,54.0,100.0,0.0,34.0,17.0,27.0,19.0,14.0,10.0,4.0,3.0,2915.5,5782.0,94.0,15.0,9.0,13.0,139.0,46.0,21.0,15.0,32.0,26.0,45.0,34.0,13.0,34.5,261.5,17.0,5.0,60.0,17.0,1.5,1.0,16.0,24.0,47.5,343.0,825.0,54.0,95.0,179.5,70.0,17.0,445.5,36.0,32.0,13.5,32.0,96.0,104.0,90.0,7.0,1.0,555.0,296.5,515.5,201.0,318.0,3333.5,5773.5,259.0,2101.5,85.0,1.0,27.0,38.0,41.0,1.0,11.0,1.0,10.0,4.0,167.0,19.0,20.0,36.0,8.0,0.0,8.0,205.0,2.0,1.0,3.0,1.0,2.0,14.0,2.0,9.0,4.0,4.0,3.0,23.0,13.0,32.5,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,18.0,0.0,7.0,12.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.5,3.0,0.0,1.0,5.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,12.0,16.0,17.0
7Networks_LH_Vis_9,100.5,1922.0,1148.0,42.0,14617.0,15.0,11921.0,424.0,0.0,172.5,7369.0,28.0,1909.5,6986.0,62.0,21.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,195.0,39.0,9.0,0.0,0.0,0.0,20.0,3.0,3.0,1.0,0.0,1.0,1.0,6.0,1.0,3.0,204.0,9.0,1.0,5.0,2.0,0.0,0.0,1.0,13.0,26.0,87.0,175.0,21.0,73.0,4.0,4.0,0.0,74.5,21.0,14.0,5.0,3.0,3.0,2.0,34.0,3.0,0.0,289.0,122.0,305.5,46.0,22.0,3.0,35.0,5.0,13.0,53.0,0.0,16.0,24.0,8.0,0.0,6.0,0.0,3.0,1.0,3.0,1.0,2.0,69.0,5.0,0.0,3.0,47.0,7.0,7.0,20.0,8.0,12.0,125.0,15.0,75.0,37.0,34.0,13.0,183.0,90.0,201.0,32.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,34.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,25.0,15.0
7Networks_LH_Vis_10,2048.0,1191.0,79.0,15535.0,267.5,3251.0,6309.0,36.0,172.5,0.0,70.0,13251.0,25864.0,421.5,20.0,12.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,12.0,0.0,0.0,0.0,35.0,2.0,3.0,1.0,0.0,0.0,0.5,3.0,1.0,1.0,67.0,7.0,0.0,2.0,2.0,1.0,0.0,0.0,21.5,51.5,449.5,215.5,64.0,29.0,2.0,3.0,0.0,27.0,31.0,15.0,5.0,2.0,2.0,1.0,234.5,7.0,1.0,271.5,55.0,89.0,14.0,9.0,1.0,23.0,2.0,6.0,61.0,1.0,15.0,34.5,6.0,1.0,7.0,2.0,3.0,2.0,2.0,1.0,1.0,1977.0,45.0,1.0,8.0,1063.0,10.0,22.0,47.5,60.0,18.0,234.0,51.0,120.5,270.5,110.5,19.0,344.0,315.0,359.5,40.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,38.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,8.0,10.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5,2.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,7.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,134.0,30.0,14.0
